site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,light_sum,watertemp_ma_3,watertemp_ma_5,watertemp_ma_7,watertemp_ma_10,watertemp_ma_14
Midge,2007-06-21,2007,6,24,21,172,0,0,0,-0.268796953,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2007-06-28,2007,6,25,28,179,0.014147208,0,0.014147208,0.014147208,-1.750869961,NA,NA,NA,NA,NA,NA
Midge,2007-07-05,2007,7,26,5,186,0.240502537,0,0.240502537,0.226355329,-0.612427707,NA,20.11491898,20.46710764,NA,NA,NA
Midge,2007-07-12,2007,7,27,12,193,0.056588832,0.014147208,0.07073604,-0.169766497,-1.128800578,NA,21.21944444,21.21003819,21.18515129,20.8640816,NA
Midge,2007-07-19,2007,7,28,19,200,0.091956852,0.190987309,0.282944161,0.212208121,-0.542808437,NA,22.89342014,22.80095139,22.68441468,22.24492361,21.93478299
Midge,2007-07-26,2007,7,29,26,207,0.551741115,0.176840101,0.728581215,0.445637054,-0.135381418,NA,22.84148727,22.57825694,22.49511657,22.61460764,22.58976563
Midge,2007-08-02,2007,8,30,2,214,1.619855324,3.077017754,4.696873078,3.968291863,0.67214157,NA,24.93028935,24.85738542,24.96517857,24.32807118,23.73014757
Midge,2007-08-09,2007,8,31,9,221,5.658883227,10.56089082,16.21977405,11.52290097,1.210141181,NA,24.63867477,24.96305556,25.3946751,25.25535938,25.17992684
Midge,2007-08-16,2007,8,32,16,228,0.8771269,0.679065987,1.556192887,-14.66358116,0.193066936,NA,23.65399306,23.83468403,23.91347222,24.13103299,24.65407366
Midge,2007-08-23,2007,8,33,23,235,0.580035531,0.077809644,0.657845175,-0.898347712,-0.179506147,NA,21.19657407,21.56114931,22.15050843,22.60155382,23.03199033
Midge,2007-08-30,2007,8,34,30,242,22.15452783,0.43856345,22.59309128,21.93524611,1.354044852,NA,22.89422454,22.88459375,22.43924355,22.06644271,22.29487599
Midge,2007-09-06,2007,9,35,6,249,4.78882993,0,4.78882993,-17.80426135,0.680555772,NA,21.3470544,21.43928472,21.85240823,22.16495313,22.14582589
Midge,2007-09-13,2007,9,36,13,256,3.466065976,0,3.466065976,-1.322763954,0.540287667,NA,20.05451389,20.67554514,20.9834871,21.09255729,21.41794767
Midge,2007-09-20,2007,9,37,20,263,2.440393391,0.014147208,2.4545406,-1.011525377,0.39060672,NA,18.67393519,18.79992593,19.12106481,19.42800463,20.07580026
Midge,2008-06-05,2008,6,22,5,157,0,0,0,-2.4545406,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2008-06-12,2008,6,23,12,164,0.056588832,0,0.056588832,0.056588832,-1.220484084,NA,NA,NA,NA,NA,NA
Midge,2008-06-19,2008,6,24,19,171,0.572961927,0,0.572961927,0.516373094,-0.239154039,NA,NA,NA,NA,NA,NA
Midge,2008-06-26,2008,6,25,26,178,0.247576141,0,0.247576141,-0.325385786,-0.600021616,NA,20.7198206,20.77134722,20.86491342,NA,NA
Midge,2008-07-03,2008,7,26,3,185,2.829441613,0.113177665,2.942619278,2.695043137,0.469265067,NA,22.94135995,22.06428472,21.80019345,21.4760816,21.38167478
Midge,2008-07-10,2008,7,27,10,192,0.954936545,0,0.954936545,-1.987682733,-0.018391325,NA,25.77896412,24.92254861,24.41515129,23.97301389,23.10767237
Midge,2008-07-17,2008,7,28,17,199,3.727789325,0,3.727789325,2.772852781,0.571870565,NA,24.33846065,24.27151042,24.4387376,24.84080556,24.42694444
Midge,2008-07-24,2008,7,29,24,206,0.523446698,0.007073604,0.530520303,-3.197269023,-0.272360913,NA,23.64293403,24.02611111,24.28167907,24.29871354,24.36020833
Midge,2008-07-31,2008,7,30,31,213,10.8721294,0.113177665,10.98530706,10.45478676,1.0409545,NA,24.05048611,24.01145139,23.77755952,23.73717188,24.0296193
Midge,2008-08-07,2008,8,31,7,220,1.181291874,0.014147208,1.195439082,-9.789867981,0.078833339,NA,23.09134259,23.47536458,23.76574405,23.85116667,23.77165179
Midge,2008-08-14,2008,8,32,14,227,0.222818527,0.03536802,0.258186547,-0.937252534,-0.582052675,NA,21.95895255,22.09841667,22.16476687,22.44273958,22.96525546
Midge,2008-08-21,2008,8,33,21,234,0.622477155,0.014147208,0.636624363,0.378437816,-0.193667803,NA,22.1086169,22.24849306,22.24395337,22.15845313,22.20436012
Midge,2008-08-26,2008,8,34,26,239,0.106104061,0,0.106104061,-0.530520303,-0.959777296,NA,22.96837384,22.58213889,22.34305804,22.41531597,22.34555432
Midge,2008-09-04,2008,9,35,4,248,0.749802028,0,0.749802028,0.643697967,-0.122973215,NA,21.76566551,21.83314931,21.88592262,21.89695833,22.09140377
Midge,2008-09-10,2008,9,36,10,254,0.014147208,0,0.014147208,-0.735654819,-1.750869961,NA,21.36593171,21.77579514,21.94545635,21.8473941,21.88416543
Midge,2008-09-17,2008,9,37,17,261,0.198060913,0,0.198060913,0.183913705,-0.695378271,NA,NA,NA,NA,NA,NA
Midge,2008-09-24,2008,9,38,24,268,0.226355329,0,0.226355329,0.028294416,-0.638356522,NA,NA,NA,NA,NA,NA
Midge,2009-05-15,2009,5,19,15,135,0,0,0,-0.226355329,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2009-05-29,2009,5,21,29,149,0.014147208,0,0.014147208,0.014147208,-1.750869961,285449,14.76622685,15.01404861,15.01858383,NA,NA
Midge,2009-06-04,2009,6,22,4,155,0.007073604,0,0.007073604,-0.007073604,-1.971688914,125431.9,15.46446181,15.34084722,15.01488591,15.07828819,15.17032738
Midge,2009-06-17,2009,6,24,17,168,0.03536802,0,0.03536802,0.028294416,-1.409291661,136487.1,17.08931713,17.06255208,16.88875992,16.95787847,16.82918775
Midge,2009-06-25,2009,6,25,25,176,0.014147208,0,0.014147208,-0.021220812,-1.750869961,283232.2,17.63342593,17.62529167,17.82851935,17.82399132,17.53666047
Midge,2009-07-02,2009,7,26,2,183,0,0,0,-0.014147208,-2.443697499,61440.9,20.06802662,20.13871875,20.32667411,19.51869965,19.07759673
Midge,2009-07-09,2009,7,27,9,190,0.056588832,0.021220812,0.077809644,0.077809644,-1.089324144,287569.5,19.53233218,19.78221875,19.80292907,19.88245833,20.06480159
Midge,2009-07-16,2009,7,28,16,197,0.205134517,0.007073604,0.212208121,0.134398477,-0.665932217,198401.4,20.89716435,21.22523958,21.03601935,20.58491319,20.41947421
Midge,2009-07-23,2009,7,29,23,204,0.544667511,0.007073604,0.551741115,0.339532994,-0.255440172,194117.1,22.02801505,22.18618056,21.98558532,21.65905903,21.51080233
Midge,2009-07-30,2009,7,30,30,211,0.799317256,0.007073604,0.80639086,0.254649745,-0.091519882,177152.8,23.65802083,23.13478472,22.63211806,22.45088715,22.30885169
Midge,2009-08-06,2009,8,31,6,218,0.346606598,0.007073604,0.353680202,-0.452710658,-0.446991049,322810.4,23.82048611,23.58118403,23.50080109,23.54796701,23.06645957
Midge,2009-08-13,2009,8,32,13,225,0.07073604,0,0.07073604,-0.282944161,-1.128800578,166712,22.92178241,22.765875,22.97236607,23.22680208,23.23658358
Midge,2009-08-20,2009,8,33,20,232,3.246784251,0.007073604,3.253857855,3.183121815,0.512878806,262974.3,25.83479745,25.21107639,24.61961558,24.11026563,23.79599082
Midge,2009-08-27,2009,8,34,27,239,0.983230961,0,0.983230961,-2.270626895,-0.005757233,59858.9,24.80884259,24.89526042,25.05148313,25.28647743,24.83554936
Midge,2009-09-01,2009,9,35,1,244,0.558814719,0,0.558814719,-0.424416242,-0.249943322,14714.1,21.66265625,22.24274653,22.9656002,23.56900347,24.18816716
Midge,2009-09-08,2009,9,36,8,251,0.261723349,0,0.261723349,-0.297091369,-0.57622453,NA,20.88057292,21.23311111,21.28801339,21.40040625,22.1268068
Midge,2009-09-15,2009,9,37,15,258,0.099030457,0,0.099030457,-0.162692893,-0.988723737,NA,19.70718171,19.74597222,20.00728671,20.26927257,20.64765005
Midge,2009-09-21,2009,9,38,21,264,4.562474601,0,4.562474601,4.463444145,0.659543003,NA,17.97395833,18.40740833,18.76189286,19.04315,19.46759821
Midge,2009-10-05,2009,10,40,5,278,0.756875632,0,0.756875632,-3.80559897,-0.118914698,NA,NA,NA,NA,NA,NA
Midge,2010-04-15,2010,4,15,15,105,0.028294416,0,0.028294416,-0.728581215,-1.496285346,NA,NA,NA,NA,NA,NA
Midge,2010-04-30,2010,4,17,30,120,0.099030457,0,0.099030457,0.07073604,-0.988723737,NA,NA,NA,NA,NA,NA
Midge,2010-05-13,2010,5,19,13,133,0,0,0,-0.099030457,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2010-05-25,2010,5,21,25,145,0.042441624,0.007073604,0.049515228,0.049515228,-1.27478095,NA,NA,NA,NA,NA,NA
Midge,2010-06-04,2010,6,22,4,155,0.148545685,0,0.148545685,0.099030457,-0.81774036,589337.3,20.52002894,19.86761458,19.62024554,NA,NA
Midge,2010-06-10,2010,6,23,10,161,0.014147208,0,0.014147208,-0.134398477,-1.750869961,150071.5,18.84212963,19.68241667,20.08677331,20.00472917,19.58729167
Midge,2010-06-15,2010,6,24,15,166,0.021220812,0,0.021220812,0.007073604,-1.605184015,818846.4,18.0448669,17.99336458,18.12995288,18.83789063,19.35368552
Midge,2010-06-24,2010,6,25,24,175,0.07073604,0,0.07073604,0.049515228,-1.128800578,331314.8,21.33592014,21.09634028,20.39345486,19.76471007,19.23316592
Midge,2010-07-01,2010,7,26,1,182,1.485456847,0.43856345,1.924020297,1.853284257,0.285021491,615989.2,22.50041667,22.46547917,22.49396825,22.14655382,21.44371156
Midge,2010-07-08,2010,7,27,8,189,0.063662436,0,0.063662436,-1.860357861,-1.172227408,581598.1,23.60332755,23.12460764,22.65529762,22.60883333,22.57463294
Midge,2010-07-15,2010,7,28,15,196,0.028294416,0.028294416,0.056588832,-0.007073604,-1.220484084,124659.2,25.97508681,25.82763542,25.87411706,25.19288021,24.26470734
Midge,2010-07-22,2010,7,29,22,203,0.290017765,0.198060913,0.488078678,0.431489846,-0.308318625,30560,25.88587384,26.09263194,26.21011905,26.13960938,26.04211806
Midge,2010-07-29,2010,7,30,29,210,0.106104061,0,0.106104061,-0.381974618,-0.959777296,224413.7,24.03407986,24.48210069,24.64885913,25.01996354,25.42948909
Midge,2010-08-05,2010,8,31,5,217,8.742974585,7.002867993,15.74584258,15.63973852,1.197265187,290153.7,24.35629051,23.98710069,23.94835317,23.97407118,24.29860615
Midge,2010-08-12,2010,8,32,12,224,1.945241109,33.86134251,35.80658362,20.06074104,1.554006548,592028.2,24.50158565,24.28181597,24.3430878,24.34704861,24.14572049
Midge,2010-08-19,2010,8,33,19,231,42.087944,2.256479687,44.34442368,8.537840068,1.646874271,638819.9,23.99523727,24.05967708,24.0212872,24.16537674,24.1821875
Midge,2010-08-26,2010,8,34,26,238,4.661505058,0.063662436,4.725167494,-39.61925619,0.674747961,404283.5,21.63332755,22.12383333,22.70962054,23.09530556,23.36545387
Midge,2010-09-02,2010,9,35,2,245,0.495152282,0,0.495152282,-4.230015212,-0.302115104,342735.7,22.74027778,22.34528125,22.07104415,21.93972917,22.39033234
Midge,2010-09-09,2010,9,36,9,252,0.40319543,0,0.40319543,-0.091956852,-0.390623935,283705.5,21.69226852,21.98834722,22.59723214,22.64014583,22.33413814
Midge,2010-09-16,2010,9,37,16,259,0.148545685,0,0.148545685,-0.254649745,-0.81774036,250993.5,18.95056713,19.27927083,19.60210565,20.22915451,21.0996689
Midge,2010-09-23,2010,9,38,23,266,0.049515228,0,0.049515228,-0.099030457,-1.27478095,NA,NA,NA,NA,NA,NA
Midge,2010-09-30,2010,9,39,30,273,0.014147208,0,0.014147208,-0.03536802,-1.750869961,NA,NA,NA,NA,NA,NA
Midge,2010-10-07,2010,10,40,7,280,0.042441624,0,0.042441624,0.028294416,-1.336849366,NA,NA,NA,NA,NA,NA
Midge,2011-04-28,2011,4,17,28,118,0,0,0,-0.042441624,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2011-05-05,2011,5,18,5,125,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2011-05-12,2011,5,19,12,132,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2011-05-19,2011,5,20,19,139,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2011-05-26,2011,5,21,26,146,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2011-06-02,2011,6,22,2,153,0.007073604,0,0.007073604,0.007073604,-1.971688914,NA,NA,NA,NA,NA,NA
Midge,2011-06-10,2011,6,23,10,161,0,0,0,-0.007073604,-2.443697499,261391.8,20.6423206,19.28614236,18.33815724,NA,NA
Midge,2011-06-16,2011,6,24,16,167,0,0,0,0,-2.443697499,449653.4,17.98344907,18.00552083,18.49510169,18.79621354,18.2333631
Midge,2011-06-23,2011,6,25,23,174,0.007073604,0,0.007073604,0.007073604,-1.971688914,62237.4,19.97001736,19.93198264,19.86061756,19.29746701,19.17785962
Midge,2011-06-30,2011,6,26,30,181,0,0,0,-0.007073604,-2.443697499,315653.1,20.82530671,20.13636806,19.68231895,19.76862847,19.77146825
Midge,2011-07-07,2011,7,27,7,188,0,0,0,0,-2.443697499,571146.3,23.11949653,22.71922222,22.29485615,21.85399132,20.98858755
Midge,2011-07-14,2011,7,28,14,195,0.198060913,0.014147208,0.212208121,0.212208121,-0.665932217,461881.1,24.51391204,24.09136111,23.89460069,23.66206944,23.09472842
Midge,2011-07-21,2011,7,29,21,202,0.148545685,0.007073604,0.155619289,-0.056588832,-0.79800432,414143.2,24.9728125,24.86038542,24.48385169,24.49286979,24.18922619
Midge,2011-07-28,2011,7,30,28,209,0.226355329,0,0.226355329,0.07073604,-0.638356522,583783.3,24.63335069,25.11642361,25.39855655,25.27083333,24.94120412
Midge,2011-08-04,2011,8,31,4,216,0.834685276,0.007073604,0.84175888,0.615403551,-0.072958881,385716.2,24.64250579,24.56290625,24.51279762,24.54896354,24.95567708
Midge,2011-08-11,2011,8,32,11,223,0.155619289,0.014147208,0.169766497,-0.671992383,-0.761034826,354748,24.36899884,24.64767361,24.66823909,24.6605191,24.59051835
Midge,2011-08-18,2011,8,33,18,230,3.232637043,0.870053296,4.102690339,3.932923842,0.613449653,214224.1,22.50462963,22.93035069,23.16481895,23.52607292,23.91652902
Midge,2011-08-25,2011,8,34,25,237,2.334289331,0.049515228,2.383804559,-1.71888578,0.377926019,206452.7,22.82074074,23.21742014,23.35496776,23.09986632,23.25989335
Midge,2011-09-01,2011,9,35,1,244,1.053967001,0,1.053967001,-1.329837558,0.024307891,146023.5,21.42446759,21.51320139,21.79882937,22.10540278,22.57689856
Midge,2011-09-08,2011,9,36,8,251,0.459784262,0,0.459784262,-0.594182739,-0.33405872,142600.3,21.83882523,22.31996528,22.18345486,21.95575868,21.99114211
Midge,2011-09-15,2011,9,37,15,258,0.056588832,0,0.056588832,-0.40319543,-1.220484084,111525.6,21.61911458,21.33529167,21.28585565,21.45174653,21.73465526
Midge,2011-09-22,2011,9,38,22,265,0.014147208,0,0.014147208,-0.042441624,-1.750869961,NA,18.78759259,18.86767593,19.16931217,19.92547222,20.23492725
Midge,2011-09-29,2011,9,39,29,272,0,0,0,-0.014147208,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2011-10-06,2011,10,40,6,279,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2012-02-16,2012,2,7,16,47,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2012-03-29,2012,3,13,29,89,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2012-04-13,2012,4,15,13,104,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2012-04-19,2012,4,16,19,110,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2012-05-03,2012,5,18,3,124,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2012-05-10,2012,5,19,10,131,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2012-05-17,2012,5,20,17,138,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2012-05-24,2012,5,21,24,145,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2012-05-31,2012,5,22,31,152,0,0,0,0,-2.443697499,426059.5,19.86221065,19.77005208,19.62809524,NA,NA
Midge,2012-06-07,2012,6,23,7,159,0.042441624,0.007073604,0.049515228,0.049515228,-1.27478095,419299.5,16.32667245,16.68674653,17.43586558,18.1637691,18.42720238
Midge,2012-06-14,2012,6,24,14,166,0.141472081,0,0.141472081,0.091956853,-0.838416159,NA,19.77009838,19.32748611,18.93170139,18.15019271,18.18378348
Midge,2012-06-21,2012,6,25,21,173,0.502225886,0.007073604,0.50929949,0.36782741,-0.289967733,NA,21.90697338,21.35141667,20.88033482,20.54726389,19.90601811
Midge,2012-06-28,2012,6,26,28,180,0.007073604,0,0.007073604,-0.502225886,-1.971688914,NA,21.3202662,21.98785417,22.49861855,22.321125,21.68947669
Midge,2012-07-05,2012,7,27,5,187,0.282944161,0.021220812,0.304164973,0.297091369,-0.511780809,NA,22.75554977,22.62388194,22.18959573,21.92879688,22.34410714
Midge,2012-07-12,2012,7,28,12,194,0.084883248,0.028294416,0.113177665,-0.190987309,-0.932640213,673232.2,23.4192419,23.52217708,23.52377232,23.29330556,22.85668403
Midge,2012-07-19,2012,7,29,19,201,0.226355329,0.056588832,0.282944161,0.169766497,-0.542808437,640229.3,25.65953704,25.64184722,25.55189732,24.91210069,24.53783482
Midge,2012-07-26,2012,7,30,26,208,0.40319543,0.091956852,0.495152282,0.212208121,-0.302115104,198379.8,24.90181134,25.04190972,24.95630704,25.16727604,25.25410218
Midge,2012-08-02,2012,8,31,2,215,0.587109135,0.091956852,0.679065987,0.183913705,-0.165791735,476821.2,24.15381944,23.81901042,23.72194692,24.07590625,24.33912698
Midge,2012-08-09,2012,8,32,9,222,0.834685276,0.339532994,1.17421827,0.495152282,0.071078287,413540.5,25.35672454,25.41933333,25.40392361,25.02889236,24.56293527
Midge,2012-08-16,2012,8,33,16,229,0.120251269,0.03536802,0.155619289,-1.018598981,-0.79800432,300056.2,25.33421875,25.17378472,25.1190129,25.19032639,25.26146825
Midge,2012-08-23,2012,8,34,23,236,0.275870557,0,0.275870557,0.120251269,-0.553663939,216506,24.46013889,24.51801736,24.64777034,24.85370486,24.88339162
Midge,2012-08-30,2012,8,35,30,243,0.679065987,0,0.679065987,0.40319543,-0.165791735,225504.4,24.25675926,24.37007292,24.44360863,24.44856771,24.54568948
Midge,2012-09-06,2012,9,36,6,250,0.565888323,0,0.565888323,-0.113177665,-0.244515176,233889.9,22.38802083,22.57936458,22.7515501,23.20311285,23.59757937
Midge,2012-09-13,2012,9,37,13,257,0.643697967,0,0.643697967,0.077809644,-0.188895757,99200.6,21.0590625,21.51242708,21.9159995,22.0576059,22.3337748
Midge,2012-09-20,2012,9,38,20,264,0.325385786,0,0.325385786,-0.318312182,-0.482822866,95023.9,19.92803819,20.29923264,20.73713542,20.83371354,21.32656746
Midge,2012-09-27,2012,9,39,27,271,0.021220812,0,0.021220812,-0.304164973,-1.605184015,NA,18.40188272,18.69610185,18.77039683,19.15828241,19.79825728
Midge,2012-10-05,2012,10,40,5,279,0.028294416,0,0.028294416,0.007073604,-1.496285346,NA,NA,NA,NA,NA,NA
Midge,2013-04-24,2013,4,16,24,114,0,0,0,-0.028294416,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2013-05-02,2013,5,17,2,122,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2013-05-14,2013,5,19,14,134,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2013-05-23,2013,5,20,23,143,0,0,0,0,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2013-05-30,2013,5,21,30,150,0,0,0,0,-2.443697499,473237.5,12.93221065,12.54263542,13.15071429,NA,NA
Midge,2013-06-06,2013,6,22,6,157,0,0,0,0,-2.443697499,655051.4,18.47372106,18.86771181,18.01218254,16.48819097,15.67997024
Midge,2013-06-13,2013,6,23,13,164,0.014147208,0.007073604,0.021220812,0.021220812,-1.605184015,282694.4,16.62460648,16.73221528,16.82209325,17.3175816,17.4171379
Midge,2013-06-20,2013,6,24,20,171,0.021220812,0,0.021220812,0,-1.605184015,386684.8,17.73995949,17.52591319,17.28084573,17.08397396,17.05146949
Midge,2013-06-27,2013,6,25,27,178,0.021220812,0,0.021220812,0,-1.605184015,311659.7,22.58195602,21.87342708,21.1356498,20.11694271,19.20824777
Midge,2013-07-03,2013,7,26,3,184,0.063662436,0,0.063662436,0.042441624,-1.172227408,319786.5,22.51689815,22.19669792,22.17403274,22.19293229,21.34105779
Midge,2013-07-11,2013,7,27,11,192,0.07073604,0,0.07073604,0.007073604,-1.128800578,291627.6,25.44111111,25.71974306,25.68462302,24.86493403,24.03362351
Midge,2013-07-18,2013,7,28,18,199,0.077809644,0,0.077809644,0.007073604,-1.089324144,302219.6,25.92491898,25.55447569,25.34130208,25.37124479,25.51296255
Midge,2013-07-25,2013,7,29,25,206,0.304164973,0.056588832,0.360753806,0.282944161,-0.43847669,286342.5,24.6690625,25.39168403,25.86456597,25.88267188,25.60293403
Midge,2013-08-01,2013,8,30,1,213,0.141472081,0.396121826,0.537593907,0.176840101,-0.266647102,283845.5,24.16362269,24.01277431,23.80608383,24.06497743,24.8353249
Midge,2013-08-08,2013,8,31,8,220,0.346606598,0.084883248,0.431489846,-0.106104061,-0.361421052,217044.4,22.48872106,22.86082986,23.16024058,23.46125521,23.4831622
Midge,2013-08-15,2013,8,32,15,227,0.466857866,0.077809644,0.544667511,0.113177665,-0.261007489,192577.8,22.19936343,22.36836458,22.51295883,22.5056875,22.8365997
Midge,2013-08-22,2013,8,33,22,234,2.397951767,0.50929949,2.907251258,2.362583747,0.464020014,200274.6,22.40570602,22.09159375,21.97015625,22.0389184,22.24155754
Midge,2013-08-29,2013,8,34,29,241,1.343984766,0.240502537,1.584487303,-1.322763954,0.200874374,198121.3,22.59135995,22.48355208,22.65315476,22.57892014,22.31165551
Midge,2013-09-05,2013,9,35,5,248,4.166352776,0.042441624,4.2087944,2.624307096,0.624529027,122493.9,22.88290509,23.10477431,23.0043254,22.88043576,22.82874008
Midge,2013-09-11,2013,9,36,11,254,9.252274075,0.190987309,9.443261384,5.234466985,0.975287543,105659.2,20.26519097,20.68853819,21.14979663,21.75794965,22.08776662
Midge,2013-09-18,2013,9,37,18,261,81.36766719,0.268796953,81.63646415,72.19320276,1.911903337,60881.3,19.09349537,19.61481944,20.15792411,20.19010417,20.65386037
Midge,2013-09-25,2013,9,38,25,268,0.459784262,0,0.459784262,-81.17667988,-0.33405872,NA,17.75035494,18.26426852,18.42357143,18.65975926,19.3365873
Midge,2013-10-02,2013,10,39,2,275,0.226355329,0.007073604,0.233428933,-0.226355329,-0.625198638,NA,NA,NA,NA,NA,NA
Midge,2013-10-09,2013,10,40,9,282,0.028294416,0,0.028294416,-0.205134517,-1.496285346,NA,NA,NA,NA,NA,NA
Midge,2014-05-29,2014,5,21,29,149,0,0,0,-0.028294416,-2.443697499,NA,NA,NA,NA,NA,NA
Midge,2014-06-05,2014,6,22,5,156,0.007073604,0,0.007073604,0.007073604,-1.971688914,49180.8,17.41907986,16.48316667,16.27422619,NA,NA
Midge,2014-06-12,2014,6,23,12,163,0,0,0,-0.007073604,-2.443697499,114453.2,19.44259838,18.95620486,18.56393849,18.2204809,17.45574405
Midge,2014-06-19,2014,6,24,19,170,0.07073604,0.063662436,0.134398477,0.134398477,-0.860125707,280487.1,19.53947917,18.89952083,18.59665675,18.85043924,18.58029762
Midge,2014-06-26,2014,6,25,26,177,0.091956852,0.134398477,0.226355329,0.091956853,-0.638356522,398901.1,20.04905671,19.61985417,19.56745288,19.55906076,19.08205481
Midge,2014-07-02,2014,7,26,2,183,0.671992383,0.650771571,1.322763954,1.096408625,0.122662711,509458.4,24.0501331,23.04548264,22.25442956,21.47446701,20.91167659
