site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,wtr_temp_max,wtr_temp_mean,wtr_temp_median,water_temp_min
Midge,2012-06-07T00:00:00Z,2012,6,23,7,159,0.042441624,7.07E-03,0.049515228,4.95E-02,19.06,17.13529762,16.97,14.91
Midge,2012-06-14T00:00:00Z,2012,6,24,14,166,0.141472081,0,0.141472081,9.20E-02,21.01,19.52077381,19.71,17.61
Midge,2012-06-21T00:00:00Z,2012,6,25,21,173,0.502225886,7.07E-03,0.50929949,0.36782741,24.89,22.28988095,22.255,20.03
Midge,2012-06-28T00:00:00Z,2012,6,26,28,180,0.007073604,0,0.007073604,-0.502225886,23.34,21.63791667,21.84,20.03
Midge,2012-07-05T00:00:00Z,2012,7,27,5,187,0.282944161,2.12E-02,0.304164973,0.297091369,24.38,23.0014881,23.01,21.84
Midge,2012-07-12T00:00:00Z,2012,7,28,12,194,0.084883248,2.83E-02,0.113177665,-0.190987309,26.28,24.17238095,23.86,22.51
Midge,2012-07-19T00:00:00Z,2012,7,29,19,201,0.226355329,5.66E-02,0.282944161,0.169766497,26.28,25.33922619,25.42,23.86
Midge,2012-07-26T00:00:00Z,2012,7,30,26,208,0.40319543,9.20E-02,0.495152282,0.212208121,26.46,24.46863095,24.38,23.17
Midge,2012-08-02T00:00:00Z,2012,8,31,2,215,0.587109135,9.20E-02,0.679065987,0.183913705,25.93,24.41363095,24.295,23.01
Midge,2012-08-09T00:00:00Z,2012,8,32,9,222,0.834685276,0.339532994,1.17421827,0.495152282,26.46,25.23607143,25.24,24.38
Midge,2012-08-16T00:00:00Z,2012,8,33,16,229,0.120251269,3.54E-02,0.155619289,-1.018598981,26.11,25.12791667,25.07,24.38
Midge,2012-08-23T00:00:00Z,2012,8,34,23,236,0.275870557,0,0.275870557,0.120251269,25.42,24.5125,24.55,23.86
Midge,2012-08-30T00:00:00Z,2012,8,35,30,243,0.679065987,0,0.679065987,0.40319543,25.42,23.9535119,23.86,22.84
Midge,2012-09-06T00:00:00Z,2012,9,36,6,250,0.565888323,0,0.565888323,-0.113177665,23.86,22.63583333,22.67,22.01
Midge,2012-09-13T00:00:00Z,2012,9,37,13,257,0.643697967,0,0.643697967,7.78E-02,22.84,21.52732143,21.59,20.51
Midge,2012-09-20T00:00:00Z,2012,9,38,20,264,0.325385786,0,0.325385786,-0.318312182,21.51,19.75553571,19.71,18.57
Midge,2012-09-27T00:00:00Z,2012,9,39,27,271,0.021220812,0,0.021220812,-0.304164973,NA,NA,NA,NA
Midge,2012-10-05T00:00:00Z,2012,10,40,5,279,0.028294416,0,0.028294416,7.07E-03,NA,NA,NA,NA
Midge,2013-04-24T00:00:00Z,2013,4,16,24,114,0,0,0,-2.83E-02,NA,NA,NA,NA
Midge,2013-05-02T00:00:00Z,2013,5,17,2,122,0,0,0,0,NA,NA,NA,NA
Midge,2013-05-14T00:00:00Z,2013,5,19,14,134,0,0,0,0,NA,NA,NA,NA
Midge,2013-05-23T00:00:00Z,2013,5,20,23,143,0,0,0,0,NA,NA,NA,NA
Midge,2013-05-30T00:00:00Z,2013,5,21,30,150,0,0,0,0,19.47,13.84517857,13.43,11.27
Midge,2013-06-06T00:00:00Z,2013,6,22,6,157,0,0,0,0,21.26,18.22619048,17.69,15.62
Midge,2013-06-13T00:00:00Z,2013,6,23,13,164,0.014147208,7.07E-03,0.021220812,2.12E-02,17.69,16.76166667,16.655,16.1
Midge,2013-06-20T00:00:00Z,2013,6,24,20,171,0.021220812,0,0.021220812,0,20.93,18.23136905,17.85,16.73
Midge,2013-06-27T00:00:00Z,2013,6,25,27,178,0.021220812,0,0.021220812,0,23.61,21.91202381,22.09,20.11
Midge,2013-07-03T00:00:00Z,2013,7,26,3,184,0.063662436,0,0.063662436,4.24E-02,26.74,23.8272619,23.09,21.93
Midge,2013-07-11T00:00:00Z,2013,7,27,11,192,0.07073604,0,0.07073604,7.07E-03,26.92,25.35184524,25.17,24.3
Midge,2013-07-18T00:00:00Z,2013,7,28,18,199,0.077809644,0,0.077809644,7.07E-03,27.81,26.13589286,26.22,24.47
Midge,2013-07-25T00:00:00Z,2013,7,29,25,206,0.304164973,5.66E-02,0.360753806,0.282944161,26.74,24.55892857,24.64,22.76
Midge,2013-08-01T00:00:00Z,2013,8,30,1,213,0.141472081,0.396121826,0.537593907,0.176840101,24.82,24.00136905,23.95,23.44
Midge,2013-08-08T00:00:00Z,2013,8,31,8,220,0.346606598,8.49E-02,0.431489846,-0.106104061,23.78,22.78559524,22.76,21.93
Midge,2013-08-15T00:00:00Z,2013,8,32,15,227,0.466857866,7.78E-02,0.544667511,0.113177664,23.27,22.11886905,22.09,21.26
Midge,2013-08-22T00:00:00Z,2013,8,33,22,234,2.397951767,0.50929949,2.907251258,2.362583747,24.13,22.40047619,22.09,21.09
Midge,2013-08-29T00:00:00Z,2013,8,34,29,241,1.343984766,0.240502537,1.584487303,-1.322763954,24.13,22.62946429,22.43,21.76
Midge,2013-09-05T00:00:00Z,2013,9,35,5,248,4.166352776,4.24E-02,4.2087944,2.624307096,23.78,22.58511905,22.76,21.09
Midge,2013-09-11T00:00:00Z,2013,9,36,11,254,9.252274075,0.190987309,9.443261384,5.234466984,21.93,20.74791667,20.6,19.79
Midge,2013-09-18T00:00:00Z,2013,9,37,18,261,81.36766719,0.268796953,81.63646415,72.19320276,20.11,19.07297619,18.98,18.17
Midge,2013-09-25T00:00:00Z,2013,9,38,25,268,0.459784262,0,0.459784262,-81.17667988,NA,NA,NA,NA
Midge,2013-10-02T00:00:00Z,2013,10,39,2,275,0.226355329,7.07E-03,0.233428933,-0.226355329,NA,NA,NA,NA
Midge,2013-10-09T00:00:00Z,2013,10,40,9,282,0.028294416,0,0.028294416,-0.205134517,NA,NA,NA,NA
Midge,2014-05-29T00:00:00Z,2014,5,21,29,149,0,0,0,-2.83E-02,NA,NA,NA,NA
Midge,2014-06-05T00:00:00Z,2014,6,22,5,156,0.007073604,0,0.007073604,7.07E-03,18.49,17.02196429,17.53,13.43
Midge,2014-06-12T00:00:00Z,2014,6,23,12,163,0,0,0,-7.07E-03,21.26,18.65142857,18.33,17.21
Midge,2014-06-19T00:00:00Z,2014,6,24,19,170,0.07073604,6.37E-02,0.134398477,0.134398477,21.76,19.1214881,19.14,17.37
Midge,2014-06-26T00:00:00Z,2014,6,25,26,177,0.091956852,0.134398477,0.226355329,9.20E-02,22.76,20.09720238,20.11,18.33
Midge,2014-07-02T00:00:00Z,2014,7,26,2,183,0.671992383,0.650771571,1.322763954,1.096408625,25.52,23.71940476,24.13,21.26
Midge,2014-07-09T00:00:00Z,2014,7,27,9,190,3.027502526,0.700286799,3.727789325,2.405025371,24.3,22.60755952,22.76,20.93
Midge,2014-07-17T00:00:00Z,2014,7,28,17,198,0.742728424,0.190987309,0.933715732,-2.794073593,25.52,24.31779762,24.215,23.44
Midge,2014-07-23T00:00:00Z,2014,7,29,23,204,1.025672585,0.693213195,1.71888578,0.785170048,26.22,24.52005952,24.47,23.27
Midge,2014-07-30T00:00:00Z,2014,7,30,30,211,1.202512686,9.90E-02,1.301543142,-0.417342638,24.13,23.3964881,23.44,22.43
Midge,2014-08-06T00:00:00Z,2014,8,31,6,218,1.626928928,7.78E-02,1.704738572,0.40319543,24.64,23.49,23.44,22.59
Midge,2014-08-12T00:00:00Z,2014,8,32,12,224,0.551741115,2.83E-02,0.580035531,-1.124703041,24.64,22.81464286,22.76,21.26
Midge,2014-08-20T00:00:00Z,2014,8,33,20,232,2.440393391,7.07E-03,2.447466995,1.867431465,22.09,21.15660714,21.26,20.43
Midge,2014-08-27T00:00:00Z,2014,8,34,27,239,0.282944161,2.12E-02,0.304164973,-2.143302022,23.61,21.82875,21.76,20.6
Midge,2014-09-04T00:00:00Z,2014,9,35,4,247,1.138850249,7.07E-03,1.145923853,0.84175888,24.47,22.95494048,23.09,21.59
Midge,2014-09-10T00:00:00Z,2014,9,36,10,253,0.40319543,0,0.40319543,-0.742728424,23.61,21.68583333,21.76,19.47
Midge,2014-09-17T00:00:00Z,2014,9,37,17,260,1.945241109,2.12E-02,1.966461921,1.563266491,19.63,18.67422619,18.82,17.53
Midge,2014-09-25T00:00:00Z,2014,9,38,25,268,0.099030457,0,0.099030457,-1.867431465,NA,NA,NA,NA
Midge,2014-10-03T00:00:00Z,2014,10,39,3,276,0.014147208,0,0.014147208,-8.49E-02,NA,NA,NA,NA
Midge,2014-10-10T00:00:00Z,2014,10,40,10,283,0.127324873,0,0.127324873,0.113177665,NA,NA,NA,NA
Midge,2015-05-14T00:00:00Z,2015,5,19,14,134,0,0,0,-0.127324873,NA,NA,NA,NA
Midge,2015-05-21T00:00:00Z,2015,5,20,21,141,0.007073604,0,0.007073604,7.07E-03,NA,NA,NA,NA
Midge,2015-05-28T00:00:00Z,2015,5,21,28,148,0.113177665,1.41E-02,0.127324873,0.120251269,NA,NA,NA,NA
Midge,2015-06-05T00:00:00Z,2015,6,22,5,156,0.007073604,0,0.007073604,-0.120251269,NA,NA,NA,NA
Midge,2015-06-11T00:00:00Z,2015,6,23,11,162,0.014147208,0,0.014147208,7.07E-03,20.16,18.02642857,17.81,15.98
Midge,2015-06-19T00:00:00Z,2015,6,24,19,170,0.077809644,1.41E-02,0.091956852,7.78E-02,20.97,19.22732143,19.02,17.89
Midge,2015-07-02T00:00:00Z,2015,7,26,2,183,0.07073604,7.07E-03,0.077809644,-1.41E-02,21.47,20.38107143,20.32,19.51
Midge,2015-07-09T00:00:00Z,2015,7,27,9,190,0.028294416,1.41E-02,0.042441624,-3.54E-02,23.31,22.20535714,22.47,20.32
Midge,2015-07-16T00:00:00Z,2015,7,28,16,197,0.141472081,4.95E-02,0.190987309,0.148545685,24.52,23.40464286,23.48,22.13
Midge,2015-07-30T00:00:00Z,2015,7,30,30,211,1.237880706,0.162692893,1.400573599,1.20958629,25.91,24.45636905,24.78,22.81
Midge,2015-08-06T00:00:00Z,2015,8,31,6,218,0.106104061,7.78E-02,0.183913705,-1.216659894,25.73,24.47642857,24.52,23.14
