site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,light_sum,watertemp_mean_interp,watertemp_median_interp,watertemp_max_interp,watertemp_min_interp,watertemp_sd_interp,watertemp_range_interp,watertemp_cv_interp,ysi_readings_mean_only,buoy_interp,onset_interp,watertemp_daily_mean,watertemp_daily_median,watertemp_daily_max,watertemp_daily_min,watertemp_daily_sd,watertemp_daily_range,watertemp_daily_cv,watertemp_daily_obs,wtr_mean_diff,wtr_median_diff,wtr_max_diff,wtr_min_diff,wtr_sd_diff,wtr_range_diff,diff_interp
Midge,2006-06-29,2006,6,26,29,180,0.33245939,NA,0.33245939,0.148545685,-0.473583965,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2006-07-06,2006,7,27,6,187,0.275870557,NA,0.275870557,-0.056588833,-0.553663939,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2006-07-13,2006,7,28,13,194,2.284774103,NA,2.284774103,2.008903546,0.359527024,NA,24.29708,23.975,25.45,23.55,0.181181309,0.52,0.007556568,0,0,1,24.24,23.97666667,23.975,23.72,0.181181309,0.52,0.007556568,6,NA,NA,NA,NA,NA,NA,0
Midge,2006-07-17,2006,7,29,17,198,3.246784251,NA,3.246784251,0.962010148,0.511934705,NA,25.565,25.02,27.92,23.72,1.368912612,4.2,0.053546357,0,0,0,25.565,25.02,27.92,23.72,1.368912612,4.2,0.053546357,24,NA,NA,NA,NA,NA,NA,0
Midge,2006-07-23,2006,7,30,23,204,0.007073604,NA,0.007073604,-3.239710647,-1.971688914,NA,23.82083333,23.72,24.24,23.38,0.242969253,0.86,0.010199864,0,0,0,23.82083333,23.72,24.24,23.38,0.242969253,0.86,0.010199864,24,-1.44333334,-1.475,-2.08,-0.68,-0.329249287,-1.4,0
Midge,2006-07-31,2006,7,31,31,212,3.317520292,NA,3.317520292,3.310446688,0.521284606,NA,25.47833333,25.365,26.14,24.93,0.479253647,1.21,0.018810243,0,0,0,25.47833333,25.365,26.14,24.93,0.479253647,1.21,0.018810243,24,1.76166666,1.815,1.73,1.89,-0.054564973,-0.16,0
Midge,2006-08-07,2006,8,32,7,219,1.846210653,NA,1.846210653,-1.471309639,0.267127276,NA,25.78708333,25.79,26.49,25.45,0.290987512,1.04,0.011284235,0,0,0,25.78708333,25.79,26.49,25.45,0.290987512,1.04,0.011284235,24,0.30875,0.425,0.35,0.52,-0.188266135,-0.17,0
Midge,2006-08-14,2006,8,33,14,226,1.068114209,NA,1.068114209,-0.778096444,0.030078989,NA,22.40041667,22.29,23.04,21.87,0.430555548,1.17,0.019220872,0,0,0,22.40041667,22.29,23.04,21.87,0.430555548,1.17,0.019220872,24,-3.38666666,-3.5,-3.45,-3.58,0.139568036,0.13,0
Midge,2006-08-21,2006,8,34,21,233,0.94786294,NA,0.94786294,-0.120251269,-0.021608123,NA,22.33791667,22.37,22.54,22.04,0.146138087,0.5,0.006542154,0,0,0,22.33791667,22.37,22.54,22.04,0.146138087,0.5,0.006542154,24,-0.0625,0.08,-0.5,0.17,-0.284417461,-0.67,0
Midge,2006-08-28,2006,8,35,28,240,1.124703041,NA,1.124703041,0.176840101,0.052425759,NA,20.39041667,20.39,20.72,20.07,0.170943143,0.65,0.008383504,0,0,0,20.39041667,20.39,20.72,20.07,0.170943143,0.65,0.008383504,24,-1.9475,-1.98,-1.82,-1.97,0.024805056,0.15,0
Midge,2006-09-08,2006,9,36,8,251,2.857736029,NA,2.857736029,1.733032988,0.456568863,NA,19.81666667,19.905,20.72,18.93,0.709088004,1.79,0.035782406,0,0,0,19.81666667,19.905,20.72,18.93,0.709088004,1.79,0.035782406,24,-0.25916666,-0.165,0.17,-0.81,0.504852065,0.98,0
Midge,2006-09-12,2006,9,37,12,255,0.346606598,NA,0.346606598,-2.511129431,-0.455675676,NA,18.78583333,18.69,19.58,18.13,0.428109257,1.45,0.022788942,0,0,0,18.78583333,18.69,19.58,18.13,0.428109257,1.45,0.022788942,24,0.0025,-0.08,0.49,-0.32,0.239875668,0.81,0
Midge,2006-09-18,2006,9,38,18,261,0.268796953,NA,0.268796953,-0.077809645,-0.564797755,NA,18.80583,18.77,19.42,18.29,0.362706213,1.13,0.019286899,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,-0.11209,-0.16,-0.16,-0.32,0.120111913,0.16,1
Midge,2007-06-21,2007,6,24,21,172,0,0,0,-0.268796953,-2.443697499,NA,20.6,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2007-06-28,2007,6,25,28,179,0.014147208,0,0.014147208,0.014147208,-1.750869961,NA,21.79083,21.84,22.67,21.51,0.232807378,1.16,0.01068373,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,1.19083,NA,NA,NA,NA,NA,1
Midge,2007-07-05,2007,7,26,5,186,0.240502537,0,0.240502537,0.226355329,-0.612427707,NA,20.47166667,20.595,21.17,19.87,0.522216569,1.3,0.025509236,0,0,0,20.47166667,20.595,21.17,19.87,0.522216569,1.3,0.025509236,24,-1.31916333,-1.245,-1.5,-1.64,0.289409191,0.14,1
Midge,2007-07-12,2007,7,27,12,193,0.056588832,0.014147208,0.07073604,-0.169766497,-1.128800578,NA,22.22166667,22.17,22.67,21.67,0.313058776,1,0.014087997,0,0,0,22.22166667,22.17,22.67,21.67,0.313058776,1,0.014087997,24,1.75,1.575,1.5,1.8,-0.209157793,-0.3,0
Midge,2007-07-19,2007,7,28,19,200,0.091956852,0.190987309,0.282944161,0.212208121,-0.542808437,NA,22.29166667,22.34,22.67,21.84,0.205673161,0.83,0.00922646,0,0,0,22.29166667,22.34,22.67,21.84,0.205673161,0.83,0.00922646,24,0.07,0.17,0,0.17,-0.107385615,-0.17,0
Midge,2007-07-26,2007,7,29,26,207,0.551741115,0.176840101,0.728581215,0.445637054,-0.135381418,NA,24.35708333,24.21,25.59,23.68,0.639085482,1.91,0.026238178,0,0,0,24.35708333,24.21,25.59,23.68,0.639085482,1.91,0.026238178,24,2.06541666,1.87,2.92,1.84,0.433412321,1.08,0
Midge,2007-08-02,2007,8,30,2,214,1.619855324,3.077017754,4.696873078,3.968291863,0.67214157,NA,25.38,25.07,26.64,24.21,0.750588175,2.43,0.029574002,0,0,0,25.38,25.07,26.64,24.21,0.750588175,2.43,0.029574002,24,1.02291667,0.86,1.05,0.53,0.111502693,0.52,0
Midge,2007-08-09,2007,8,31,9,221,5.658883227,10.56089082,16.21977405,11.52290097,1.210141181,NA,24.58625,24.55,25.07,24.21,0.231419298,0.86,0.00941255,0,0,0,24.58625,24.55,25.07,24.21,0.231419298,0.86,0.00941255,24,-0.79375,-0.52,-1.57,0,-0.519168877,-1.57,0
Midge,2007-08-16,2007,8,32,16,228,0.8771269,0.679065987,1.556192887,-14.66358116,0.193066936,NA,23.46541667,23.34,24.03,23.01,0.357965011,1.02,0.015255003,0,0,0,23.46541667,23.34,24.03,23.01,0.357965011,1.02,0.015255003,24,-1.12083333,-1.21,-1.04,-1.2,0.126545713,0.16,0
Midge,2007-08-23,2007,8,33,23,235,0.580035531,0.077809644,0.657845175,-0.898347712,-0.179506147,NA,20.67041667,20.68,20.84,20.51,0.124008386,0.33,0.005999317,0,0,0,20.67041667,20.68,20.84,20.51,0.124008386,0.33,0.005999317,24,-2.795,-2.66,-3.19,-2.5,-0.233956625,-0.69,0
Midge,2007-08-30,2007,8,34,30,242,22.15452783,0.43856345,22.59309128,21.93524611,1.354044852,NA,23.91583333,23.86,24.38,23.52,0.203168738,0.86,0.008495156,0,0,0,23.91583333,23.86,24.38,23.52,0.203168738,0.86,0.008495156,24,3.24541666,3.18,3.54,3.01,0.079160352,0.53,0
Midge,2007-09-06,2007,9,35,6,249,4.78882993,0,4.78882993,-17.80426135,0.680555772,NA,20.94666667,20.925,21.51,20.51,0.341883106,1,0.0163216,0,0,0,20.94666667,20.925,21.51,20.51,0.341883106,1,0.0163216,24,-2.96916666,-2.935,-2.87,-3.01,0.138714368,0.14,0
Midge,2007-09-13,2007,9,36,13,256,3.466065976,0,3.466065976,-1.322763954,0.540287667,NA,19.89375,19.71,20.68,19.38,0.470067641,1.3,0.023628911,0,0,0,19.89375,19.71,20.68,19.38,0.470067641,1.3,0.023628911,24,-1.05291667,-1.215,-0.83,-1.13,0.128184535,0.3,0
Midge,2007-09-20,2007,9,37,20,263,2.440393391,0.014147208,2.4545406,-1.011525377,0.39060672,NA,18.65333,18.57,19.38,18.25,0.163358842,0.49,0.00874564,0,0,1,18.9,18.67888889,18.73,18.41,0.163358842,0.49,0.00874564,9,-1.21486111,-0.98,-1.78,-0.97,-0.306708799,-0.81,0
Midge,2008-06-05,2008,6,22,5,157,0,0,0,-2.4545406,-2.443697499,NA,15.84945,15.8896,15.98365,15.65695,NA,0.3267,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2008-06-12,2008,6,23,12,164,0.056588832,0,0.056588832,0.056588832,-1.220484084,NA,20.97112,21.13247,21.43195,20.30005,NA,1.1319,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,5.12167,5.24287,5.4483,4.6431,NA,0.8052,1
Midge,2008-06-19,2008,6,24,19,171,0.572961927,0,0.572961927,0.516373094,-0.239154039,NA,21.07792,21.01,21.51,20.68,0.125437014,0.34,0.005873344,0,0,0,21.357,21.34,21.51,21.17,0.125437014,0.34,0.005873344,10,0.1068,-0.12247,0.07805,0.37995,NA,-0.7919,1
Midge,2008-06-26,2008,6,25,26,178,0.247576141,0,0.247576141,-0.325385786,-0.600021616,NA,20.98,21.01,21.17,20.84,0.116469813,0.33,0.005551469,0,0,0,20.98,21.01,21.17,20.84,0.116469813,0.33,0.005551469,24,-0.377,-0.33,-0.34,-0.33,-0.008967201,-0.01,0
Midge,2008-07-03,2008,7,26,3,185,2.829441613,0.113177665,2.942619278,2.695043137,0.469265067,NA,23.50583333,23.34,24.03,23.17,0.256361102,0.86,0.010906276,0,0,0,23.50583333,23.34,24.03,23.17,0.256361102,0.86,0.010906276,24,2.52583333,2.33,2.86,2.33,0.139891289,0.53,0
Midge,2008-07-10,2008,7,27,10,192,0.954936545,0,0.954936545,-1.987682733,-0.018391325,NA,25.72541667,25.76,26.28,25.24,0.274368511,1.04,0.01066527,0,0,0,25.72541667,25.76,26.28,25.24,0.274368511,1.04,0.01066527,24,2.21958334,2.42,2.25,2.07,0.018007409,0.18,0
Midge,2008-07-17,2008,7,28,17,199,3.727789325,0,3.727789325,2.772852781,0.571870565,NA,25.16958333,25.07,25.76,24.38,0.427718713,1.38,0.016993476,0,0,0,25.16958333,25.07,25.76,24.38,0.427718713,1.38,0.016993476,24,-0.55583334,-0.69,-0.52,-0.86,0.153350202,0.34,0
Midge,2008-07-24,2008,7,29,24,206,0.523446698,0.007073604,0.530520303,-3.197269023,-0.272360913,NA,22.82541667,22.84,23.17,22.67,0.120685692,0.5,0.005287338,0,0,0,22.82541667,22.84,23.17,22.67,0.120685692,0.5,0.005287338,24,-2.34416666,-2.23,-2.59,-1.71,-0.307033021,-0.88,0
Midge,2008-07-31,2008,7,30,31,213,10.8721294,0.113177665,10.98530706,10.45478676,1.0409545,NA,24.3275,24.21,25.07,23.86,0.346312877,1.21,0.014235449,0,0,0,24.3275,24.21,25.07,23.86,0.346312877,1.21,0.014235449,24,1.50208333,1.37,1.9,1.19,0.225627185,0.71,0
Midge,2008-08-07,2008,8,31,7,220,1.181291874,0.014147208,1.195439082,-9.789867981,0.078833339,NA,22.46375,22.34,22.84,22.17,0.232019724,0.67,0.010328628,0,0,0,22.46375,22.34,22.84,22.17,0.232019724,0.67,0.010328628,24,-1.86375,-1.87,-2.23,-1.69,-0.114293153,-0.54,0
Midge,2008-08-14,2008,8,32,14,227,0.222818527,0.03536802,0.258186547,-0.937252534,-0.582052675,NA,22.52875,22.51,23.01,22.01,0.359121059,1,0.015940567,0,0,0,22.52875,22.51,23.01,22.01,0.359121059,1,0.015940567,24,0.065,0.17,0.17,-0.16,0.127101335,0.33,0
Midge,2008-08-21,2008,8,33,21,234,0.622477155,0.014147208,0.636624363,0.378437816,-0.193667803,NA,21.60375,21.51,22.34,21.01,0.470409743,1.33,0.021774449,0,0,0,21.60375,21.51,22.34,21.01,0.470409743,1.33,0.021774449,24,-0.925,-1,-0.67,-1,0.111288684,0.33,0
Midge,2008-08-26,2008,8,34,26,239,0.106104061,0,0.106104061,-0.530520303,-0.959777296,NA,21.85416667,21.755,22.67,21.51,0.36980508,1.16,0.016921491,0,0,0,21.85416667,21.755,22.67,21.51,0.36980508,1.16,0.016921491,24,-0.69375,-0.755,-0.34,-0.66,0.132428491,0.32,0
Midge,2008-09-04,2008,9,35,4,248,0.749802028,0,0.749802028,0.643697967,-0.122973215,NA,22.5,22.34,23.17,21.84,0.461942967,1.33,0.020530799,0,0,0,22.5,22.34,23.17,21.84,0.461942967,1.33,0.020530799,24,0.75666667,0.585,1.16,0.5,0.26543726,0.66,0
Midge,2008-09-10,2008,9,36,10,254,0.014147208,0,0.014147208,-0.735654819,-1.750869961,NA,20.63583333,20.68,20.84,20.35,0.139904212,0.49,0.006779673,0,0,0,20.63583333,20.68,20.84,20.35,0.139904212,0.49,0.006779673,24,-1.05083334,-0.745,-1.83,-0.49,-0.461193817,-1.34,0
Midge,2008-09-17,2008,9,37,17,261,0.198060913,0,0.198060913,0.183913705,-0.695378271,NA,20.28542,20.27,20.68,19.87,0.285748128,0.81,0.014086382,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,-0.35041333,-0.41,-0.16,-0.48,0.145843916,0.32,1
Midge,2008-09-24,2008,9,38,24,268,0.226355329,0,0.226355329,0.028294416,-0.638356522,NA,18.64064,18.61968,18.9647,18.3949,NA,0.5698,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,-1.64478,-1.65032,-1.7153,-1.4751,NA,-0.2402,1
Midge,2009-05-15,2009,5,19,15,135,0,0,0,-0.226355329,-2.443697499,NA,12.75157639,12.69,14.134,12.11,0.43823629,2.024,0.034367225,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2009-05-29,2009,5,21,29,149,0.014147208,0,0.014147208,0.014147208,-1.750869961,285449,14.02541667,13.97,14.59,13.81,0.199259044,0.78,0.014206996,0,0,0,14.02541667,13.97,14.59,13.81,0.199259044,0.78,0.014206996,24,-2.21583333,-2.05,-2.53,-1.73,-0.407874725,-0.8,0
Midge,2009-06-04,2009,6,22,4,155,0.007073604,0,0.007073604,-0.007073604,-1.971688914,125431.9,16.28041667,16.18,17.12,15.54,0.528043799,1.58,0.032434293,0,0,0,16.28041667,16.18,17.12,15.54,0.528043799,1.58,0.032434293,24,1.99041667,1.9,2.53,1.57,0.329374312,0.96,0
Midge,2009-06-17,2009,6,24,17,168,0.03536802,0,0.03536802,0.028294416,-1.409291661,136487.1,18.31958333,17.93,19.54,17.44,0.764241478,2.1,0.041717187,0,0,0,18.31958333,17.93,19.54,17.44,0.764241478,2.1,0.041717187,24,2.03791666,1.675,3.05,1.42,0.614642982,1.63,0
Midge,2009-06-25,2009,6,25,25,176,0.014147208,0,0.014147208,-0.021220812,-1.750869961,283232.2,18.74208333,18.25,20.35,17.77,0.852668339,2.58,0.045494854,0,0,0,18.74208333,18.25,20.35,17.77,0.852668339,2.58,0.045494854,24,-0.135,-0.65,0.97,-0.64,0.589106133,1.61,0
Midge,2009-07-02,2009,7,26,2,183,0,0,0,-0.014147208,-2.443697499,61440.9,19.42833333,19.38,19.71,19.06,0.175985836,0.65,0.009058206,0,0,0,19.42833333,19.38,19.71,19.06,0.175985836,0.65,0.009058206,24,0.68625,1.13,-0.64,1.29,-0.676682503,-1.93,0
Midge,2009-07-09,2009,7,27,9,190,0.056588832,0.021220812,0.077809644,0.077809644,-1.089324144,287569.5,19.53666667,19.54,20.35,19.06,0.462757958,1.29,0.023686638,0,0,0,19.53666667,19.54,20.35,19.06,0.462757958,1.29,0.023686638,24,0.10833334,0.16,0.64,0,0.286772122,0.64,0
Midge,2009-07-16,2009,7,28,16,197,0.205134517,0.007073604,0.212208121,0.134398477,-0.665932217,198401.4,20.6975,20.68,21.17,20.35,0.244935661,0.82,0.01183407,0,0,0,20.6975,20.68,21.17,20.35,0.244935661,0.82,0.01183407,24,1.16083333,1.14,0.82,1.29,-0.217822297,-0.47,0
Midge,2009-07-23,2009,7,29,23,204,0.544667511,0.007073604,0.551741115,0.339532994,-0.255440172,194117.1,21.69375,21.67,22.01,21.17,0.210832975,0.84,0.009718604,0,0,0,21.69375,21.67,22.01,21.17,0.210832975,0.84,0.009718604,24,0.99625,0.99,0.84,0.82,-0.034102686,0.02,0
Midge,2009-07-30,2009,7,30,30,211,0.799317256,0.007073604,0.80639086,0.254649745,-0.091519882,177152.8,24.23458333,24.21,24.55,24.03,0.182779962,0.52,0.007542113,0,0,0,24.23458333,24.21,24.55,24.03,0.182779962,0.52,0.007542113,24,2.54083333,2.54,2.54,2.86,-0.028053013,-0.32,0
Midge,2009-08-06,2009,8,31,6,218,0.346606598,0.007073604,0.353680202,-0.452710658,-0.446991049,322810.4,23.94625,24.03,24.38,23.52,0.255850033,0.86,0.010684347,0,0,0,23.94625,24.03,24.38,23.52,0.255850033,0.86,0.010684347,24,-0.28833333,-0.18,-0.17,-0.51,0.073070071,0.34,0
Midge,2009-08-13,2009,8,32,13,225,0.07073604,0,0.07073604,-0.282944161,-1.128800578,166712,22.98666667,23.01,23.17,22.84,0.122675488,0.33,0.005336811,0,0,0,22.98666667,23.01,23.17,22.84,0.122675488,0.33,0.005336811,24,-0.95958333,-1.02,-1.21,-0.68,-0.133174545,-0.53,0
Midge,2009-08-20,2009,8,33,20,232,3.246784251,0.007073604,3.253857855,3.183121815,0.512878806,262974.3,25.72583333,25.76,26.28,25.42,0.232077885,0.86,0.0090212,0,0,0,25.72583333,25.76,26.28,25.42,0.232077885,0.86,0.0090212,24,2.73916666,2.75,3.11,2.58,0.109402397,0.53,0
Midge,2009-08-27,2009,8,34,27,239,0.983230961,0,0.983230961,-2.270626895,-0.005757233,59858.9,23.93041667,23.86,24.38,23.68,0.205711473,0.7,0.008596234,0,0,0,23.93041667,23.86,24.38,23.68,0.205711473,0.7,0.008596234,24,-1.79541666,-1.9,-1.9,-1.74,-0.026366412,-0.16,0
Midge,2009-09-01,2009,9,35,1,244,0.558814719,0,0.558814719,-0.424416242,-0.249943322,14714.1,21.38083333,21.255,21.84,21.01,0.307018151,0.83,0.014359503,0,0,0,21.38083333,21.255,21.84,21.01,0.307018151,0.83,0.014359503,24,-3.57958334,-3.465,-3.92,-3.37,-0.126506124,-0.55,0
Midge,2009-09-08,2009,9,36,8,251,0.261723349,0,0.261723349,-0.297091369,-0.57622453,NA,20.79708333,20.51,21.67,20.19,0.532275502,1.48,0.025593757,0,0,0,20.79708333,20.51,21.67,20.19,0.532275502,1.48,0.025593757,24,-0.58375,-0.745,-0.17,-0.82,0.225257351,0.65,0
Midge,2009-09-15,2009,9,37,15,258,0.099030457,0,0.099030457,-0.162692893,-0.988723737,NA,19.66666667,19.71,19.87,19.54,0.101581694,0.33,0.005165171,0,0,0,19.66666667,19.71,19.87,19.54,0.101581694,0.33,0.005165171,24,-1.13041666,-0.8,-1.8,-0.65,-0.430693808,-1.15,0
Midge,2009-09-21,2009,9,38,21,264,4.562474601,0,4.562474601,4.463444145,0.659543003,NA,17.70583,17.61,18.25,17.28,0.395704289,0.97,0.022348809,0,0,1,18.09,17.754,17.69,17.61,0.17608079,0.48,0.009917809,10,-1.93225,-2.02,-1.78,-1.77,0.027791634,-0.01,0
Midge,2009-10-05,2009,10,40,5,278,0.756875632,0,0.756875632,-3.80559897,-0.118914698,NA,15.247233,15.2393,15.3481,15.1645,NA,0.1836,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2010-04-15,2010,4,15,15,105,0.028294416,0,0.028294416,-0.728581215,-1.496285346,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2010-04-30,2010,4,17,30,120,0.099030457,0,0.099030457,0.07073604,-0.988723737,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2010-05-13,2010,5,19,13,133,0,0,0,-0.099030457,-2.443697499,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2010-05-25,2010,5,21,25,145,0.042441624,0.007073604,0.049515228,0.049515228,-1.27478095,NA,17.76708,17.77,19.71,15.23,1.452782874,4.48,0.081768225,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2010-06-04,2010,6,22,4,155,0.148545685,0,0.148545685,0.099030457,-0.81774036,589337.3,21.10541667,21.01,22.01,20.35,0.375626771,1.66,0.017797648,0,0,0,21.10541667,21.01,22.01,20.35,0.375626771,1.66,0.017797648,24,3.33833334,3.24,2.3,5.12,-1.077156103,-2.82,0
Midge,2010-06-10,2010,6,23,10,161,0.014147208,0,0.014147208,-0.134398477,-1.750869961,150071.5,17.97,17.93,18.41,17.77,0.158251314,0.64,0.008806417,0,0,0,17.97,17.93,18.41,17.77,0.158251314,0.64,0.008806417,24,-3.26,-3.325,-3.26,-3.07,-0.134561135,-0.19,0
Midge,2010-06-15,2010,6,24,15,166,0.021220812,0,0.021220812,0.007073604,-1.605184015,818846.4,18.51208333,18.57,19.22,17.93,0.385655615,1.29,0.020832643,0,0,0,18.51208333,18.57,19.22,17.93,0.385655615,1.29,0.020832643,24,-0.68166667,-0.65,-0.49,-0.97,0.180720578,0.48,0
Midge,2010-06-24,2010,6,25,24,175,0.07073604,0,0.07073604,0.049515228,-1.128800578,331314.8,22.09666667,22.17,22.51,21.67,0.287684408,0.84,0.013019358,0,0,0,22.09666667,22.17,22.51,21.67,0.287684408,0.84,0.013019358,24,4.06,4.08,4.42,3.74,0.210637462,0.68,0
Midge,2010-07-01,2010,7,26,1,182,1.485456847,0.43856345,1.924020297,1.853284257,0.285021491,615989.2,21.78458333,21.84,22.17,21.34,0.239037548,0.83,0.010972785,0,0,0,21.78458333,21.84,22.17,21.34,0.239037548,0.83,0.010972785,24,-0.31208334,-0.33,-0.34,-0.33,-0.04864686,-0.01,0
Midge,2010-07-08,2010,7,27,8,189,0.063662436,0,0.063662436,-1.860357861,-1.172227408,581598.1,25.10625,24.635,26.46,24.03,0.924205005,2.43,0.03681175,0,0,0,25.10625,24.635,26.46,24.03,0.924205005,2.43,0.03681175,24,3.32166667,2.795,4.29,2.69,0.685167457,1.6,0
Midge,2010-07-15,2010,7,28,15,196,0.028294416,0.028294416,0.056588832,-0.007073604,-1.220484084,124659.2,25.96666667,25.93,26.81,25.42,0.481471175,1.39,0.018541894,0,0,0,25.96666667,25.93,26.81,25.42,0.481471175,1.39,0.018541894,24,0.86041667,1.295,0.35,1.39,-0.44273383,-1.04,0
Midge,2010-07-22,2010,7,29,22,203,0.290017765,0.198060913,0.488078678,0.431489846,-0.308318625,30560,25.61083333,25.59,25.93,25.24,0.196975317,0.69,0.007691094,0,0,0,25.61083333,25.59,25.93,25.24,0.196975317,0.69,0.007691094,24,-0.35583334,-0.34,-0.88,-0.18,-0.284495858,-0.7,0
Midge,2010-07-29,2010,7,30,29,210,0.106104061,0,0.106104061,-0.381974618,-0.959777296,224413.7,24.28625,24.295,24.55,24.03,0.161105218,0.52,0.006633598,0,0,0,24.28625,24.295,24.55,24.03,0.161105218,0.52,0.006633598,24,-1.32458333,-1.295,-1.38,-1.21,-0.035870099,-0.17,0
Midge,2010-08-05,2010,8,31,5,217,8.742974585,7.002867993,15.74584258,15.63973852,1.197265187,290153.7,24.74833333,24.72,24.89,24.55,0.1193339,0.34,0.004821896,0,0,0,24.74833333,24.72,24.89,24.55,0.1193339,0.34,0.004821896,24,0.46208333,0.425,0.34,0.52,-0.041771318,-0.18,0
