site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,week,light_sum,watertemp_mean,watertemp_min,watertemp_max,watertemp_median,ysi_readings,buoy_interp,schmidt.stability.mean-lag,schmidt.stability.max-lag,schmidt.stability.min-lag,schmidt.stability.median-lag,schmidt.stability.sd-lag,schmidt.stability.obs,schmidt.stability_range-lag,schmidt.stability_CV-lag
Midge,2008-06-26,2008,6,26,178,0.247576141,0,0.247576141,-0.325385786,-0.600021616,25,NA,20.98,20.84,21.17,21.01,0,0,297.9260749,317.7431962,282.3693202,296.059227,9.543021996,144,35.37387599,0.03203151
Midge,2008-07-03,2008,7,3,185,2.829441613,0.113177665,2.942619278,2.695043137,0.469265067,26,NA,23.50583333,23.17,24.03,23.34,0,0,315.9996909,334.5064537,300.0407926,314.898709,8.148197476,144,34.46566109,0.02578546
Midge,2008-07-10,2008,7,10,192,0.954936545,0,0.954936545,-1.987682733,-0.018391325,27,NA,25.72541667,25.24,26.28,25.76,0,0,393.2100318,422.708862,360.5176041,395.8511379,14.90492495,144,62.1912579,0.03790576
Midge,2008-07-17,2008,7,17,199,3.727789325,0,3.727789325,2.772852781,0.571870565,28,NA,25.16958333,24.38,25.76,25.07,0,0,514.0187485,549.7682503,488.7303933,511.8819282,12.96211608,144,61.03785703,0.025217205
Midge,2008-07-24,2008,7,24,206,0.523446698,0.007073604,0.530520303,-3.197269023,-0.272360913,29,NA,22.82541667,22.67,23.17,22.84,0,0,512.1257381,569.3313008,461.5529885,519.1467722,23.34082267,144,107.7783123,0.045576352
Midge,2008-07-31,2008,7,31,213,10.8721294,0.113177665,10.98530706,10.45478676,1.0409545,30,NA,24.3275,23.86,25.07,24.21,0,0,453.5656737,489.5206424,417.2212885,456.9816648,15.7474124,144,72.29935394,0.034719145
Midge,2008-08-07,2008,8,7,220,1.181291874,0.014147208,1.195439082,-9.789867981,0.078833339,31,NA,22.46375,22.17,22.84,22.34,0,0,478.3559937,501.0738103,449.4845121,480.3900482,11.26671975,144,51.58929817,0.023553002
Midge,2008-08-14,2008,8,14,227,0.222818527,0.03536802,0.258186547,-0.937252534,-0.582052675,32,NA,22.52875,22.01,23.01,22.51,0,0,424.519909,444.936427,390.4064879,425.5404772,10.34384124,144,54.52993911,0.024365974
Midge,2008-08-21,2008,8,21,234,0.622477155,0.014147208,0.636624363,0.378437816,-0.193667803,33,NA,21.60375,21.01,22.34,21.51,0,0,401.3705577,429.3144972,365.6642242,402.3471946,18.7624069,144,63.65027298,0.046745848
Midge,2008-08-26,2008,8,26,239,0.106104061,0,0.106104061,-0.530520303,-0.959777296,34,NA,21.85416667,21.51,22.67,21.755,0,0,326.0914635,384.856237,272.8981103,325.1938366,24.94750907,144,111.9581268,0.076504637
Midge,2008-09-04,2008,9,4,248,0.749802028,0,0.749802028,0.643697967,-0.122973215,35,NA,22.5,21.84,23.17,22.34,0,0,337.7657405,395.0293186,260.7887438,344.3778676,25.62111723,144,134.2405748,0.075854695
Midge,2008-09-10,2008,9,10,254,0.014147208,0,0.014147208,-0.735654819,-1.750869961,36,NA,20.63583333,20.35,20.84,20.68,0,0,330.9742896,383.0127753,288.1156833,329.5510046,22.14839994,144,94.89709198,0.066918793
Midge,2008-09-17,2008,9,17,261,0.198060913,0,0.198060913,0.183913705,-0.695378271,37,NA,20.28542,19.87,20.68,20.27,0,0,248.1442251,303.4398585,182.6543119,254.2422767,29.14239123,144,120.7855466,0.117441344
Midge,2008-09-24,2008,9,24,268,0.226355329,0,0.226355329,0.028294416,-0.638356522,38,NA,18.64064,18.3949,18.9647,18.61968,0,1,68.92507351,168.8484541,-1.009740005,63.364192,49.35223447,144,169.8581941,0.716027303
Midge,2009-05-15,2009,5,15,135,0,0,0,-0.226355329,-2.443697499,19,NA,12.75157639,12.11,14.134,12.69,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-05-29,2009,5,29,149,0.014147208,0,0.014147208,0.014147208,-1.750869961,21,285449,14.02541667,13.81,14.59,13.97,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-06-04,2009,6,4,155,0.007073604,0,0.007073604,-0.007073604,-1.971688914,22,125431.9,16.28041667,15.54,17.12,16.18,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-06-17,2009,6,17,168,0.03536802,0,0.03536802,0.028294416,-1.409291661,24,136487.1,18.31958333,17.44,19.54,17.93,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-06-25,2009,6,25,176,0.014147208,0,0.014147208,-0.021220812,-1.750869961,25,283232.2,18.74208333,17.77,20.35,18.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-02,2009,7,2,183,0,0,0,-0.014147208,-2.443697499,26,61440.9,19.42833333,19.06,19.71,19.38,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-09,2009,7,9,190,0.056588832,0.021220812,0.077809644,0.077809644,-1.089324144,27,287569.5,19.53666667,19.06,20.35,19.54,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-16,2009,7,16,197,0.205134517,0.007073604,0.212208121,0.134398477,-0.665932217,28,198401.4,20.6975,20.35,21.17,20.68,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-23,2009,7,23,204,0.544667511,0.007073604,0.551741115,0.339532994,-0.255440172,29,194117.1,21.69375,21.17,22.01,21.67,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-30,2009,7,30,211,0.799317256,0.007073604,0.80639086,0.254649745,-0.091519882,30,177152.8,24.23458333,24.03,24.55,24.21,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-08-06,2009,8,6,218,0.346606598,0.007073604,0.353680202,-0.452710658,-0.446991049,31,322810.4,23.94625,23.52,24.38,24.03,0,0,497.5035673,532.2248386,455.1829627,499.7644244,20.36901751,144,77.04187592,0.040942455
Midge,2009-08-13,2009,8,13,225,0.07073604,0,0.07073604,-0.282944161,-1.128800578,32,166712,22.98666667,22.84,23.17,23.01,0,0,495.376571,514.8316755,459.7184607,496.5691141,10.70727975,144,55.11321482,0.021614425
Midge,2009-08-20,2009,8,20,232,3.246784251,0.007073604,3.253857855,3.183121815,0.512878806,33,262974.3,25.72583333,25.42,26.28,25.76,0,0,461.972624,486.5621198,441.4967225,462.2682762,12.15331014,143,45.06539733,0.026307425
Midge,2009-08-27,2009,8,27,239,0.983230961,0,0.983230961,-2.270626895,-0.005757233,34,59858.9,23.93041667,23.68,24.38,23.86,0,0,580.6905665,600.979636,553.7609407,581.4481285,10.01718408,144,47.21869534,0.017250468
Midge,2009-09-01,2009,9,1,244,0.558814719,0,0.558814719,-0.424416242,-0.249943322,35,14714.1,21.38083333,21.01,21.84,21.255,0,0,461.2459083,493.747189,424.476617,462.8077214,14.30339943,144,69.27057193,0.031010355
Midge,2009-09-08,2009,9,8,251,0.261723349,0,0.261723349,-0.297091369,-0.57622453,36,NA,20.79708333,20.19,21.67,20.51,0,0,358.6661233,381.8039761,335.8729965,359.6516302,12.720451,144,45.93097953,0.035465995
Midge,2009-09-15,2009,9,15,258,0.099030457,0,0.099030457,-0.162692893,-0.988723737,37,NA,19.66666667,19.54,19.87,19.71,0,0,336.9353892,363.1379067,313.7700359,336.7411812,13.77538663,144,49.36787084,0.040884357
Midge,2009-09-21,2009,9,21,264,4.562474601,0,4.562474601,4.463444145,0.659543003,38,NA,17.70583,17.28,18.25,17.61,0,0,260.8122241,277.3844826,243.8030224,261.0164167,7.890512162,144,33.58146022,0.030253613
Midge,2009-10-05,2009,10,5,278,0.756875632,0,0.756875632,-3.80559897,-0.118914698,40,NA,15.247233,15.1645,15.3481,15.2393,0,1,166.3202384,188.9268259,144.1231245,164.1264344,14.05034835,144,44.80370146,0.084477683
Midge,2010-04-15,2010,4,15,105,0.028294416,0,0.028294416,-0.728581215,-1.496285346,15,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2010-04-30,2010,4,30,120,0.099030457,0,0.099030457,0.07073604,-0.988723737,17,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA
Midge,2010-05-13,2010,5,13,133,0,0,0,-0.099030457,-2.443697499,19,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2010-05-25,2010,5,25,145,0.042441624,0.007073604,0.049515228,0.049515228,-1.27478095,21,NA,17.76708,15.23,19.71,17.77,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2010-06-04,2010,6,4,155,0.148545685,0,0.148545685,0.099030457,-0.81774036,22,589337.3,21.10541667,20.35,22.01,21.01,0,0,227.9253943,270.4261313,167.1703719,226.6439131,29.00154167,144,103.2557594,0.12724138
Midge,2010-06-10,2010,6,10,161,0.014147208,0,0.014147208,-0.134398477,-1.750869961,23,150071.5,17.97,17.77,18.41,17.93,0,0,321.536924,373.8682837,272.1460074,318.4182274,32.19086981,144,101.7222763,0.100115624
Midge,2010-06-15,2010,6,15,166,0.021220812,0,0.021220812,0.007073604,-1.605184015,24,818846.4,18.51208333,17.93,19.22,18.57,0,0,190.5204585,210.9020231,169.0855215,190.2448702,5.777180029,144,41.8165016,0.030323148
Midge,2010-06-24,2010,6,24,175,0.07073604,0,0.07073604,0.049515228,-1.128800578,25,331314.8,22.09666667,21.67,22.51,22.17,0,0,212.9283949,243.4879583,178.2295449,213.9497892,21.57034804,144,65.25841346,0.101303295
Midge,2010-07-01,2010,7,1,182,1.485456847,0.43856345,1.924020297,1.853284257,0.285021491,26,615989.2,21.78458333,21.34,22.17,21.84,0,0,369.2788251,396.0244498,346.499916,368.3836493,9.473102184,144,49.52453383,0.02565298
Midge,2010-07-08,2010,7,8,189,0.063662436,0,0.063662436,-1.860357861,-1.172227408,27,581598.1,25.10625,24.03,26.46,24.635,0,0,322.8183533,340.7552917,293.3543825,325.761958,12.75393195,144,47.40090914,0.039508076
Midge,2010-07-15,2010,7,15,196,0.028294416,0.028294416,0.056588832,-0.007073604,-1.220484084,28,124659.2,25.96666667,25.42,26.81,25.93,0,0,545.674352,586.9015519,505.873758,543.4900297,21.62962831,144,81.02779387,0.039638345
Midge,2010-07-22,2010,7,22,203,0.290017765,0.198060913,0.488078678,0.431489846,-0.308318625,29,30560,25.61083333,25.24,25.93,25.59,0,0,566.1975934,600.1407381,534.7720706,564.5828292,21.21271553,144,65.36866753,0.037465217
Midge,2010-07-29,2010,7,29,210,0.106104061,0,0.106104061,-0.381974618,-0.959777296,30,224413.7,24.28625,24.03,24.55,24.295,0,0,504.5369349,535.4107095,449.7060321,508.1626885,19.40743236,144,85.70467734,0.038465831
Midge,2010-08-05,2010,8,5,217,8.742974585,7.002867993,15.74584258,15.63973852,1.197265187,31,290153.7,24.74833333,24.55,24.89,24.72,0,0,420.374266,449.6650918,379.3306981,424.0810841,18.08572858,144,70.33439378,0.04302292
Midge,2010-08-12,2010,8,12,224,1.945241109,33.86134251,35.80658362,20.06074104,1.554006548,32,592028.2,23.71375,23.52,24.03,23.68,0,0,440.9312522,465.8819203,418.5247046,441.5678032,9.95939992,144,47.35721565,0.022587194
Midge,2010-08-19,2010,8,19,231,42.087944,2.256479687,44.34442368,8.537840068,1.646874271,33,638819.9,24.2825,23.68,24.89,24.295,0,0,423.0211807,449.4776368,394.8906005,422.9340538,13.40234818,144,54.5870363,0.031682452
Midge,2010-08-26,2010,8,26,238,4.661505058,0.063662436,4.725167494,-39.61925619,0.674747961,34,404283.5,21.47041667,21.01,21.84,21.51,0,0,381.1998537,412.7610529,346.2465198,381.4085714,19.22838291,144,66.51453316,0.050441737
Midge,2010-09-02,2010,9,2,245,0.495152282,0,0.495152282,-4.230015212,-0.302115104,35,342735.7,23.99625,23.34,24.72,23.86,0,0,242.7598511,265.9698586,182.0920031,244.1319865,13.31817705,144,83.87785553,0.054861531
Midge,2010-09-09,2010,9,9,252,0.40319543,0,0.40319543,-0.091956852,-0.390623935,36,283705.5,21.13166667,20.68,21.51,21.17,0,0,329.9646391,368.3096825,290.4377969,330.4081863,16.97872352,144,77.87188568,0.051456191
Midge,2010-09-16,2010,9,16,259,0.148545685,0,0.148545685,-0.254649745,-0.81774036,37,250993.5,18.55916667,18.09,19.22,18.49,0,0,180.6455164,218.4555364,48.39756627,179.3489935,18.83270728,144,170.0579702,0.104252282
Midge,2010-09-23,2010,9,23,266,0.049515228,0,0.049515228,-0.099030457,-1.27478095,38,NA,18.02333,17.61,18.41,18.01,0,0,5.411190503,82.07670883,-43.69204092,5.052541892,25.80478952,144,125.7687497,4.768782304
Midge,2010-09-30,2010,9,30,273,0.014147208,0,0.014147208,-0.03536802,-1.750869961,39,NA,17.85537,17.8192,17.9536,17.83693,0,1,12.39670501,39.54326303,-13.51110873,11.72572023,13.77829301,144,53.05437177,1.111448001
Midge,2010-10-07,2010,10,7,280,0.042441624,0,0.042441624,0.028294416,-1.336849366,40,NA,15.72838,15.52507,15.8592,15.74253,0,1,7.606674495,26.44631749,-3.516892417,6.542328605,6.670812262,144,29.96320991,0.876968282
Midge,2011-04-28,2011,4,28,118,0,0,0,-0.042441624,-2.443697499,17,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2011-05-05,2011,5,5,125,0,0,0,0,-2.443697499,18,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA
Midge,2011-05-12,2011,5,12,132,0,0,0,0,-2.443697499,19,NA,11.64515,10.80317,12.10893,11.77783,0,1,NA,NA,NA,NA,NA,0,NA,NA
Midge,2011-05-19,2011,5,19,139,0,0,0,0,-2.443697499,20,NA,12.22229,11.957,12.49307,12.22575,0,1,NA,NA,NA,NA,NA,80,NA,NA
Midge,2011-05-26,2011,5,26,146,0,0,0,0,-2.443697499,21,NA,15.24841,14.50547,16.042,15.32533,0,1,38.53726764,49.49570434,21.67531331,39.30807769,6.992898302,144,27.82039103,0.181458072
Midge,2011-06-02,2011,6,2,153,0.007073604,0,0.007073604,0.007073604,-1.971688914,22,NA,16.51833,13.82,17.77,17.29,0,0,116.2701763,147.0195215,71.91591422,124.5821112,21.63214982,144,75.10360727,0.186050718
Midge,2011-06-10,2011,6,10,161,0,0,0,-0.007073604,-2.443697499,23,261391.8,19.08375,17.13,22.34,18.74,0,0,271.5028558,336.5290188,194.2946616,266.3450619,34.31569603,144,142.2343572,0.126391658
Midge,2011-06-16,2011,6,16,167,0,0,0,0,-2.443697499,24,449653.4,19.17833333,17.93,20.2,19.47,0,0,346.7620785,382.1911441,309.3791701,344.7270449,15.71910457,144,72.81197401,0.045331095
Midge,2011-06-23,2011,6,23,174,0.007073604,0,0.007073604,0.007073604,-1.971688914,25,62237.4,19.38916667,18.74,19.71,19.47,0,0,260.0226868,287.9583329,235.4544576,259.5497107,9.423576792,144,52.50387533,0.036241364
Midge,2011-06-30,2011,6,30,181,0,0,0,-0.007073604,-2.443697499,26,315653.1,21.35708333,21.01,21.68,21.425,0,0,344.7405904,367.6118744,322.3692165,342.7144113,10.06357758,144,45.24265794,0.02919174
Midge,2011-07-07,2011,7,7,188,0,0,0,0,-2.443697499,27,571146.3,23.8125,23.18,24.21,23.775,0,0,359.683054,380.9705834,320.0287263,364.2496438,13.21479196,144,60.94185703,0.036740102
Midge,2011-07-14,2011,7,14,195,0.198060913,0.014147208,0.212208121,0.212208121,-0.665932217,28,461881.1,23.39458333,22.34,24.38,23.35,0,0,479.5702245,509.455117,405.5890289,484.6207329,22.61006611,144,103.8660881,0.047146518
Midge,2011-07-21,2011,7,21,202,0.148545685,0.007073604,0.155619289,-0.056588832,-0.79800432,29,414143.2,25.67291667,25.07,26.29,25.77,0,0,512.8499509,566.9147641,443.5249648,512.1622093,27.0202837,144,123.3897993,0.052686529
Midge,2011-07-28,2011,7,28,209,0.226355329,0,0.226355329,0.07073604,-0.638356522,30,583783.3,24.88625,24.03,25.59,24.9,0,0,580.0598656,633.5990784,543.4027006,574.0328895,25.5378044,144,90.19637785,0.044026153
Midge,2011-08-04,2011,8,4,216,0.834685276,0.007073604,0.84175888,0.615403551,-0.072958881,31,385716.2,24.33875,24.03,24.73,24.38,0,0,553.3003229,581.7111811,527.7254472,554.6941871,14.43212672,144,53.98573384,0.026083713
Midge,2011-08-11,2011,8,11,223,0.155619289,0.014147208,0.169766497,-0.671992383,-0.761034826,32,354748,23.92625,23.35,24.21,24.03,0,0,551.7817364,582.8797576,518.6289111,552.841015,20.78464522,144,64.25084656,0.037668237
Midge,2011-08-18,2011,8,18,230,3.232637043,0.870053296,4.102690339,3.932923842,0.613449653,33,214224.1,23.20375,22.34,23.86,23.35,0,0,539.2803807,563.4065768,506.7996977,540.7396919,12.23769732,144,56.60687916,0.022692643
Midge,2011-08-25,2011,8,25,237,2.334289331,0.049515228,2.383804559,-1.71888578,0.377926019,34,206452.7,22.48208333,22.18,22.84,22.425,0,0,434.7971119,459.6656175,387.8839456,438.5744847,13.66429145,144,71.7816719,0.031426822
Midge,2011-09-01,2011,9,1,244,1.053967001,0,1.053967001,-1.329837558,0.024307891,35,146023.5,21.3575,21.18,21.68,21.34,0,0,401.9289549,442.6697517,359.3227172,402.9691785,18.98543963,144,83.34703449,0.04723581
Midge,2011-09-08,2011,9,8,251,0.459784262,0,0.459784262,-0.594182739,-0.33405872,36,142600.3,21.07291667,20.68,21.34,21.01,0,0,316.9449983,358.662781,243.6416635,322.601964,24.82432008,144,115.0211176,0.078323748
Midge,2011-09-15,2011,9,15,258,0.056588832,0,0.056588832,-0.40319543,-1.220484084,37,111525.6,20.69208333,19.87,21.18,20.76,0,0,253.7098426,284.6732815,214.4548296,253.4264567,14.88833352,144,70.21845194,0.058682522
Midge,2011-09-22,2011,9,22,265,0.014147208,0,0.014147208,-0.042441624,-1.750869961,38,NA,18.93833,18.09,19.55,19.07,0,0,219.7505116,282.1283724,122.6160685,223.7506974,31.27312473,144,159.5123039,0.142311954
Midge,2011-09-29,2011,9,29,272,0,0,0,-0.014147208,-2.443697499,39,NA,19.419556,19.2905,19.647,19.3825,0,1,56.38286635,92.03022758,27.69504755,54.14410606,13.23797717,144,64.33518003,0.234787233
Midge,2011-10-06,2011,10,6,279,0,0,0,0,-2.443697499,40,NA,15.992076,15.68525,16.381,15.992875,0,1,125.7373978,217.2805007,54.56426608,129.3914179,38.49679488,144,162.7162347,0.306168217
Midge,2012-02-16,2012,2,16,47,0,0,0,0,-2.443697499,7,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2012-03-29,2012,3,29,89,0,0,0,0,-2.443697499,13,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2012-04-13,2012,4,13,104,0,0,0,0,-2.443697499,15,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2012-04-19,2012,4,19,110,0,0,0,0,-2.443697499,16,NA,13.99668,13.824,14.35475,13.97617,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2012-05-03,2012,5,3,124,0,0,0,0,-2.443697499,18,NA,13.89848,13.846,13.956,13.912,0,1,26.61267756,35.74203566,20.88972607,26.54282916,3.482925133,144,14.85230959,0.13087466
