"","MonthYear","Precip_mm","Tmax_C","Tmin_C","Snow_mm"
"83","2011-11",76.962,10.7662835243448,-2.93103448275862,127
"84","2011-12",94.742,5.08230452659259,-7.043010753,114.3
"85","2012-01",66.294,0.394265233064516,-10.5197132621613,236.22
"86","2012-02",16.51,2.73809523807143,-8.67816091955172,88.9
"87","2012-03",36.83,11.206896551,-3.56321839093103,342.9
"88","2012-04",52.578,15.0617283951852,0.288065843592593,0
"89","2012-05",149.352,21.7383512536129,9.01433691793548,0
"90","2012-06",68.58,24.8275862065517,11.2835249037241,0
"91","2012-07",51.562,28.8709677416129,14.1577060934194,0
"92","2012-08",107.188,29.1218637987097,13.3512544805484,0
"93","2012-09",112.268,22.666666666,8.03703703793333,0
"94","2012-10",172.466,16.3082437280323,5.19713261648387,0
"95","2012-11",12.954,7.6851851848,-3.6666666667,0
"96","2012-12",105.156,3.13620071693548,-5.50179211496774,365.76
"97","2013-01",46.736,0.215053763193548,-12.3118279569032,190.5
"98","2013-02",57.15,1.34920634917857,-9.30555555553571,528.32
"99","2013-03",34.29,4.80286738351613,-5.44802867367742,248.92
"100","2013-04",65.532,13.1111111116,-0.555555555566667,25.4
"101","2013-05",116.332,21.8100358419032,5.59139784980645,0
"102","2013-06",182.626,25.166666666,11.6296296299333,0
"103","2013-07",143.002,29.2293906809677,16.3620071688065,0
"104","2013-08",81.534,26.218637993871,11.4157706095806,0
"105","2013-09",90.17,21.7407407413333,7.7592592601,0
"106","2013-10",30.734,15.5925925927333,1.72222222226667,0
"107","2013-11",81.788,6.6851851856,-5.51851851866667,50.8
"108","2013-12",64.516,0.860215053774194,-9.44444444435484,568.96
"109","2014-01",80.01,-3.13620071664516,-14.4802867382258,342.9
"110","2014-02",84.836,-1.25,-14.7817460312857,815.34
"111","2014-03",91.44,1.46953405016129,-13.3691756270645,218.44
"112","2014-04",68.834,12.3333333334333,-1.79629629646667,76.2
"113","2014-05",111.252,18.4767025087097,5.9318996416129,0
"114","2014-06",118.364,24.7222222223333,10.5370370374,0
"115","2014-07",192.532,27.025089606129,13.6200716846129,0
"116","2014-08",90.678,24.4982078854839,11.3620071687097,0
"117","2014-09",38.1,21.7592592593333,7.3703703706,0
"118","2014-10",182.372,15.2150537626774,4.82078853048387,0
"119","2014-11",68.326,6.40740740723333,-4.05555555593333,299.72
"120","2014-12",136.652,2.15053763441935,-5.30465949812903,210.82
"121","2015-01",74.676,-3.36917562764516,-16.5770609314194,436.88
"122","2015-02",53.086,-5.35714285764286,-20.2976190482143,909.32
"123","2015-03",25.908,2.04301075290323,-11.5232974908065,119.38
"124","2015-04",49.784,11.4629629634667,-1.70370370356667,76.2
"125","2015-05",20.828,23.5125448032258,6.84587813635484,0
"126","2015-06",184.404,22.3148148148,10.7222222222333,0
"127","2015-07",91.44,26.7741935480645,12.6702508963226,0
"128","2015-08",68.072,26.8996415764516,12.5985663088387,0
"129","2015-09",129.032,24.7962962963333,9.46296296333333,0
"130","2015-10",93.726,14.2831541218065,0.465949820870968,0
"131","2015-11",54.356,10.7962962972333,-2.5,0
"132","2015-12",105.41,6.27240143367742,-2.72401433683871,147.32
"133","2016-01",40.894,-0.358422939096774,-10.6630824371935,198.12
"134","2016-02",108.204,2.60536398482759,-9.94252873606897,193.04
"135","2016-03",70.104,8.26164874519355,-4.05017921170968,33.02
"136","2016-04",51.562,12.0740740740333,-2.8888888891,76.2
"137","2016-05",54.864,19.2652329743871,5.94982078851613,0
"138","2016-06",63.246,24.9259259256667,10.1296296298,0
"139","2016-07",91.186,27.5627240141935,12.9749103949355,0
"140","2016-08",87.63,27.1684587806452,13.0645161297419,0
"141","2016-09",43.688,23.3333333336667,8.07407407436667,0
"142","2016-10",67.31,14.9103942657097,2.72401433687097,0
"143","2016-11",52.832,8.518518519,-2.37037037036667,7.62
"144","2016-12",82.042,1.52329749112903,-9.5878136196129,685.8
