site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,date_monthly_samples,CHL,SD,Depth,LAYER,PH,TP,COND,TURBIDITY
Midge,2007-08-23,2007,8,33,23,235,0.580035531,0.077809644,0.657845175,-0.898347712,-0.179506147,2007-08-21,2.32,5.25,7,I,6.76,0.005,86.6,0.71
Midge,2007-08-30,2007,8,34,30,242,22.15452783,0.43856345,22.59309128,21.93524611,1.354044852,,,,,,,,,
Midge,2007-09-06,2007,9,35,6,249,4.78882993,0,4.78882993,-17.80426135,0.680555772,,,,,,,,,
Midge,2007-09-13,2007,9,36,13,256,3.466065976,0,3.466065976,-1.322763954,0.540287667,,,,,,,,,
Midge,2007-09-20,2007,9,37,20,263,2.440393391,0.014147208,2.4545406,-1.011525377,0.39060672,2007-09-17,2.7,5.25,7,I,6.62,0.006,87.5,1.18
Midge,2008-06-05,2008,6,22,5,157,0,0,0,-2.4545406,-2.443697499,,,,,,,,,
Midge,2008-06-12,2008,6,23,12,164,0.056588832,0,0.056588832,0.056588832,-1.220484084,,,,,,,,,
Midge,2008-06-19,2008,6,24,19,171,0.572961927,0,0.572961927,0.516373094,-0.239154039,2008-06-17,1.97,6,0,I,7.06,0.005,91.3,1.1
Midge,2008-06-26,2008,6,25,26,178,0.247576141,0,0.247576141,-0.325385786,-0.600021616,,,,,,,,,
Midge,2008-07-03,2008,7,26,3,185,2.829441613,0.113177665,2.942619278,2.695043137,0.469265067,,,,,,,,,
Midge,2008-07-10,2008,7,27,10,192,0.954936545,0,0.954936545,-1.987682733,-0.018391325,,,,,,,,,
Midge,2008-07-17,2008,7,28,17,199,3.727789325,0,3.727789325,2.772852781,0.571870565,2008-07-16,1.64,6.75,7,I,7.01,0.005,91.9,0.6
Midge,2008-07-24,2008,7,29,24,206,0.523446698,0.007073604,0.530520303,-3.197269023,-0.272360913,,,,,,,,,
Midge,2008-07-31,2008,7,30,31,213,10.8721294,0.113177665,10.98530706,10.45478676,1.0409545,,,,,,,,,
Midge,2008-08-07,2008,8,31,7,220,1.181291874,0.014147208,1.195439082,-9.789867981,0.078833339,,,,,,,,,
Midge,2008-08-14,2008,8,32,14,227,0.222818527,0.03536802,0.258186547,-0.937252534,-0.582052675,2008-08-13,0,6.05,7,I,6.93,0.021,93.1,0.87
Midge,2008-08-21,2008,8,33,21,234,0.622477155,0.014147208,0.636624363,0.378437816,-0.193667803,,,,,,,,,
Midge,2008-08-26,2008,8,34,26,239,0.106104061,0,0.106104061,-0.530520303,-0.959777296,,,,,,,,,
Midge,2008-09-04,2008,9,35,4,248,0.749802028,0,0.749802028,0.643697967,-0.122973215,,,,,,,,,
Midge,2008-09-10,2008,9,36,10,254,0.014147208,0,0.014147208,-0.735654819,-1.750869961,2008-09-10,1.28,5.5,0,I,7,0.005,92,0.95
Midge,2008-09-17,2008,9,37,17,261,0.198060913,0,0.198060913,0.183913705,-0.695378271,,,,,,,,,
Midge,2008-09-24,2008,9,38,24,268,0.226355329,0,0.226355329,0.028294416,-0.638356522,,,,,,,,,
Midge,2009-05-15,2009,5,19,15,135,0,0,0,-0.226355329,-2.443697499,,,,,,,,,
Midge,2009-05-29,2009,5,21,29,149,0.014147208,0,0.014147208,0.014147208,-1.750869961,,,,,,,,,
Midge,2009-06-04,2009,6,22,4,155,0.007073604,0,0.007073604,-0.007073604,-1.971688914,,,,,,,,,
Midge,2009-06-17,2009,6,24,17,168,0.03536802,0,0.03536802,0.028294416,-1.409291661,2009-06-17,2.18,6.5,8,I,6.78,0.006,96.1,2.8
Midge,2009-06-25,2009,6,25,25,176,0.014147208,0,0.014147208,-0.021220812,-1.750869961,,,,,,,,,
Midge,2009-07-02,2009,7,26,2,183,0,0,0,-0.014147208,-2.443697499,,,,,,,,,
Midge,2009-07-09,2009,7,27,9,190,0.056588832,0.021220812,0.077809644,0.077809644,-1.089324144,,,,,,,,,
Midge,2009-07-16,2009,7,28,16,197,0.205134517,0.007073604,0.212208121,0.134398477,-0.665932217,,,,,,,,,
Midge,2009-07-23,2009,7,29,23,204,0.544667511,0.007073604,0.551741115,0.339532994,-0.255440172,2009-07-20,0.74,8.3,8,I,7.08,0.005,97.5,0.61
Midge,2009-07-30,2009,7,30,30,211,0.799317256,0.007073604,0.80639086,0.254649745,-0.091519882,,,,,,,,,
Midge,2009-08-06,2009,8,31,6,218,0.346606598,0.007073604,0.353680202,-0.452710658,-0.446991049,,,,,,,,,
Midge,2009-08-13,2009,8,32,13,225,0.07073604,0,0.07073604,-0.282944161,-1.128800578,2009-08-11,1.78,6.37,8,I,6.92,0.005,96.4,1.44
Midge,2009-08-20,2009,8,33,20,232,3.246784251,0.007073604,3.253857855,3.183121815,0.512878806,,,,,,,,,
Midge,2009-08-27,2009,8,34,27,239,0.983230961,0,0.983230961,-2.270626895,-0.005757233,,,,,,,,,
Midge,2009-09-01,2009,9,35,1,244,0.558814719,0,0.558814719,-0.424416242,-0.249943322,,,,,,,,,
Midge,2009-09-08,2009,9,36,8,251,0.261723349,0,0.261723349,-0.297091369,-0.57622453,2009-09-08,1.45,6.75,8,I,5.81,0.006,97,1.16
Midge,2009-09-15,2009,9,37,15,258,0.099030457,0,0.099030457,-0.162692893,-0.988723737,,,,,,,,,
Midge,2009-09-21,2009,9,38,21,264,4.562474601,0,4.562474601,4.463444145,0.659543003,,,,,,,,,
Midge,2009-10-05,2009,10,40,5,278,0.756875632,0,0.756875632,-3.80559897,-0.118914698,2009-09-30,1.28,7.8,0,I,6.55,0.007,100.5,0.8
Midge,2010-04-15,2010,4,15,15,105,0.028294416,0,0.028294416,-0.728581215,-1.496285346,,,,,,,,,
Midge,2010-04-30,2010,4,17,30,120,0.099030457,0,0.099030457,0.07073604,-0.988723737,,,,,,,,,
Midge,2010-05-13,2010,5,19,13,133,0,0,0,-0.099030457,-2.443697499,,,,,,,,,
Midge,2010-05-25,2010,5,21,25,145,0.042441624,0.007073604,0.049515228,0.049515228,-1.27478095,,,,,,,,,
Midge,2010-06-04,2010,6,22,4,155,0.148545685,0,0.148545685,0.099030457,-0.81774036,,,,,,,,,
Midge,2010-06-10,2010,6,23,10,161,0.014147208,0,0.014147208,-0.134398477,-1.750869961,,,,,,,,,
Midge,2010-06-15,2010,6,24,15,166,0.021220812,0,0.021220812,0.007073604,-1.605184015,2010-06-15,0.95,6,7,I,6.92,0.008,94.3,1.25
Midge,2010-06-24,2010,6,25,24,175,0.07073604,0,0.07073604,0.049515228,-1.128800578,,,,,,,,,
Midge,2010-07-01,2010,7,26,1,182,1.485456847,0.43856345,1.924020297,1.853284257,0.285021491,,,,,,,,,
Midge,2010-07-08,2010,7,27,8,189,0.063662436,0,0.063662436,-1.860357861,-1.172227408,,,,,,,,,
Midge,2010-07-15,2010,7,28,15,196,0.028294416,0.028294416,0.056588832,-0.007073604,-1.220484084,2010-07-12,0.92,6.875,7,I,6.87,0.004,96.8,1.22
Midge,2010-07-22,2010,7,29,22,203,0.290017765,0.198060913,0.488078678,0.431489846,-0.308318625,,,,,,,,,
Midge,2010-07-29,2010,7,30,29,210,0.106104061,0,0.106104061,-0.381974618,-0.959777296,,,,,,,,,
Midge,2010-08-05,2010,8,31,5,217,8.742974585,7.002867993,15.74584258,15.63973852,1.197265187,,,,,,,,,
Midge,2010-08-12,2010,8,32,12,224,1.945241109,33.86134251,35.80658362,20.06074104,1.554006548,2010-08-10,1.44,7.25,7,I,6.8,0.004,92.5,1.12
Midge,2010-08-19,2010,8,33,19,231,42.087944,2.256479687,44.34442368,8.537840068,1.646874271,,,,,,,,,
Midge,2010-08-26,2010,8,34,26,238,4.661505058,0.063662436,4.725167494,-39.61925619,0.674747961,,,,,,,,,
Midge,2010-09-02,2010,9,35,2,245,0.495152282,0,0.495152282,-4.230015212,-0.302115104,,,,,,,,,
Midge,2010-09-09,2010,9,36,9,252,0.40319543,0,0.40319543,-0.091956852,-0.390623935,2010-09-07,1.38,7.875,7,I,6.98,0.005,95.2,2.36
Midge,2010-09-16,2010,9,37,16,259,0.148545685,0,0.148545685,-0.254649745,-0.81774036,,,,,,,,,
Midge,2010-09-23,2010,9,38,23,266,0.049515228,0,0.049515228,-0.099030457,-1.27478095,,,,,,,,,
Midge,2010-09-30,2010,9,39,30,273,0.014147208,0,0.014147208,-0.03536802,-1.750869961,,,,,,,,,
Midge,2010-10-07,2010,10,40,7,280,0.042441624,0,0.042441624,0.028294416,-1.336849366,2010-10-05,1.28,5.68,8,I,6.68,0.006,97.4,1.35
Midge,2011-04-28,2011,4,17,28,118,0,0,0,-0.042441624,-2.443697499,,,,,,,,,
Midge,2011-05-05,2011,5,18,5,125,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2011-05-12,2011,5,19,12,132,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2011-05-19,2011,5,20,19,139,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2011-05-26,2011,5,21,26,146,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2011-06-02,2011,6,22,2,153,0.007073604,0,0.007073604,0.007073604,-1.971688914,,,,,,,,,
Midge,2011-06-10,2011,6,23,10,161,0,0,0,-0.007073604,-2.443697499,,,,,,,,,
Midge,2011-06-16,2011,6,24,16,167,0,0,0,0,-2.443697499,2011-06-13,1.26,5.937,8,I,5.94,0.006,87.3,0.81
Midge,2011-06-23,2011,6,25,23,174,0.007073604,0,0.007073604,0.007073604,-1.971688914,,,,,,,,,
Midge,2011-06-30,2011,6,26,30,181,0,0,0,-0.007073604,-2.443697499,,,,,,,,,
Midge,2011-07-07,2011,7,27,7,188,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2011-07-14,2011,7,28,14,195,0.198060913,0.014147208,0.212208121,0.212208121,-0.665932217,,,,,,,,,
Midge,2011-07-21,2011,7,29,21,202,0.148545685,0.007073604,0.155619289,-0.056588832,-0.79800432,2011-07-19,1.66,5.875,7,I,6.75,0.007,87.1,1.17
Midge,2011-07-28,2011,7,30,28,209,0.226355329,0,0.226355329,0.07073604,-0.638356522,,,,,,,,,
Midge,2011-08-04,2011,8,31,4,216,0.834685276,0.007073604,0.84175888,0.615403551,-0.072958881,,,,,,,,,
Midge,2011-08-11,2011,8,32,11,223,0.155619289,0.014147208,0.169766497,-0.671992383,-0.761034826,,,,,,,,,
Midge,2011-08-18,2011,8,33,18,230,3.232637043,0.870053296,4.102690339,3.932923842,0.613449653,2011-08-18,2.36,5.75,7,I,6.89,0.005,95.8,1.12
Midge,2011-08-25,2011,8,34,25,237,2.334289331,0.049515228,2.383804559,-1.71888578,0.377926019,,,,,,,,,
Midge,2011-09-01,2011,9,35,1,244,1.053967001,0,1.053967001,-1.329837558,0.024307891,,,,,,,,,
Midge,2011-09-08,2011,9,36,8,251,0.459784262,0,0.459784262,-0.594182739,-0.33405872,,,,,,,,,
Midge,2011-09-15,2011,9,37,15,258,0.056588832,0,0.056588832,-0.40319543,-1.220484084,2011-09-13,1.09,5.625,0,I,6.85,0.009,90.2,2.21
Midge,2011-09-22,2011,9,38,22,265,0.014147208,0,0.014147208,-0.042441624,-1.750869961,,,,,,,,,
Midge,2011-09-29,2011,9,39,29,272,0,0,0,-0.014147208,-2.443697499,,,,,,,,,
Midge,2011-10-06,2011,10,40,6,279,0,0,0,0,-2.443697499,2011-10-03,1.33,4.625,7,I,6.72,0.008,92.9,0.98
Midge,2012-02-16,2012,2,7,16,47,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2012-03-29,2012,3,13,29,89,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2012-04-13,2012,4,15,13,104,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2012-04-19,2012,4,16,19,110,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2012-05-03,2012,5,18,3,124,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2012-05-10,2012,5,19,10,131,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2012-05-17,2012,5,20,17,138,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2012-05-24,2012,5,21,24,145,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2012-05-31,2012,5,22,31,152,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2012-06-07,2012,6,23,7,159,0.042441624,0.007073604,0.049515228,0.049515228,-1.27478095,,,,,,,,,
Midge,2012-06-14,2012,6,24,14,166,0.141472081,0,0.141472081,0.091956853,-0.838416159,2012-06-13,0.9,6.72,7,I,6.75,0.008,85.4,0.89
Midge,2012-06-21,2012,6,25,21,173,0.502225886,0.007073604,0.50929949,0.36782741,-0.289967733,,,,,,,,,
Midge,2012-06-28,2012,6,26,28,180,0.007073604,0,0.007073604,-0.502225886,-1.971688914,,,,,,,,,
Midge,2012-07-05,2012,7,27,5,187,0.282944161,0.021220812,0.304164973,0.297091369,-0.511780809,,,,,,,,,
Midge,2012-07-12,2012,7,28,12,194,0.084883248,0.028294416,0.113177665,-0.190987309,-0.932640213,,,,,,,,,
Midge,2012-07-19,2012,7,29,19,201,0.226355329,0.056588832,0.282944161,0.169766497,-0.542808437,2012-07-17,0.9,7.5,7,I,6.76,0.009,81.9,1.39
Midge,2012-07-26,2012,7,30,26,208,0.40319543,0.091956852,0.495152282,0.212208121,-0.302115104,,,,,,,,,
Midge,2012-08-02,2012,8,31,2,215,0.587109135,0.091956852,0.679065987,0.183913705,-0.165791735,,,,,,,,,
Midge,2012-08-09,2012,8,32,9,222,0.834685276,0.339532994,1.17421827,0.495152282,0.071078287,,,,,,,,,
Midge,2012-08-16,2012,8,33,16,229,0.120251269,0.03536802,0.155619289,-1.018598981,-0.79800432,2012-08-14,1.09,7.625,7,I,6.26,0.009,84,1.79
Midge,2012-08-23,2012,8,34,23,236,0.275870557,0,0.275870557,0.120251269,-0.553663939,,,,,,,,,
Midge,2012-08-30,2012,8,35,30,243,0.679065987,0,0.679065987,0.40319543,-0.165791735,,,,,,,,,
Midge,2012-09-06,2012,9,36,6,250,0.565888323,0,0.565888323,-0.113177665,-0.244515176,,,,,,,,,
Midge,2012-09-13,2012,9,37,13,257,0.643697967,0,0.643697967,0.077809644,-0.188895757,2012-09-12,1.44,6.875,0,I,6.69,0.008,86.4,1.7
Midge,2012-09-20,2012,9,38,20,264,0.325385786,0,0.325385786,-0.318312182,-0.482822866,,,,,,,,,
Midge,2012-09-27,2012,9,39,27,271,0.021220812,0,0.021220812,-0.304164973,-1.605184015,,,,,,,,,
Midge,2012-10-05,2012,10,40,5,279,0.028294416,0,0.028294416,0.007073604,-1.496285346,2012-10-02,1.61,6.375,7,I,6.08,0.009,83.2,1.7
Midge,2013-04-24,2013,4,16,24,114,0,0,0,-0.028294416,-2.443697499,,,,,,,,,
Midge,2013-05-02,2013,5,17,2,122,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2013-05-14,2013,5,19,14,134,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2013-05-23,2013,5,20,23,143,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2013-05-30,2013,5,21,30,150,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2013-06-06,2013,6,22,6,157,0,0,0,0,-2.443697499,,,,,,,,,
Midge,2013-06-13,2013,6,23,13,164,0.014147208,0.007073604,0.021220812,0.021220812,-1.605184015,,,,,,,,,
Midge,2013-06-20,2013,6,24,20,171,0.021220812,0,0.021220812,0,-1.605184015,,,,,,,,,
Midge,2013-06-27,2013,6,25,27,178,0.021220812,0,0.021220812,0,-1.605184015,,,,,,,,,
Midge,2013-07-03,2013,7,26,3,184,0.063662436,0,0.063662436,0.042441624,-1.172227408,,,,,,,,,
Midge,2013-07-11,2013,7,27,11,192,0.07073604,0,0.07073604,0.007073604,-1.128800578,,,,,,,,,
Midge,2013-07-18,2013,7,28,18,199,0.077809644,0,0.077809644,0.007073604,-1.089324144,2013-07-16,1.63,5.875,7,I,6.78,0.013,89.6,1.61
Midge,2013-07-25,2013,7,29,25,206,0.304164973,0.056588832,0.360753806,0.282944161,-0.43847669,,,,,,,,,
Midge,2013-08-01,2013,8,30,1,213,0.141472081,0.396121826,0.537593907,0.176840101,-0.266647102,,,,,,,,,
Midge,2013-08-08,2013,8,31,8,220,0.346606598,0.084883248,0.431489846,-0.106104061,-0.361421052,,,,,,,,,
Midge,2013-08-15,2013,8,32,15,227,0.466857866,0.077809644,0.544667511,0.113177665,-0.261007489,2013-08-13,1.44,7,7,I,6.54,0.008,88.4,0.71
Midge,2013-08-22,2013,8,33,22,234,2.397951767,0.50929949,2.907251258,2.362583747,0.464020014,,,,,,,,,
Midge,2013-08-29,2013,8,34,29,241,1.343984766,0.240502537,1.584487303,-1.322763954,0.200874374,,,,,,,,,
Midge,2013-09-05,2013,9,35,5,248,4.166352776,0.042441624,4.2087944,2.624307096,0.624529027,,,,,,,,,
Midge,2013-09-11,2013,9,36,11,254,9.252274075,0.190987309,9.443261384,5.234466985,0.975287543,,,,,,,,,
Midge,2013-09-18,2013,9,37,18,261,81.36766719,0.268796953,81.63646415,72.19320276,1.911903337,2013-09-17,1.98,5.5,7,I,6.51,0.004,90.1,1.05
Midge,2013-09-25,2013,9,38,25,268,0.459784262,0,0.459784262,-81.17667988,-0.33405872,,,,,,,,,
Midge,2013-10-02,2013,10,39,2,275,0.226355329,0.007073604,0.233428933,-0.226355329,-0.625198638,,,,,,,,,
Midge,2013-10-09,2013,10,40,9,282,0.028294416,0,0.028294416,-0.205134517,-1.496285346,,,,,,,,,
Midge,2014-05-29,2014,5,21,29,149,0,0,0,-0.028294416,-2.443697499,,,,,,,,,
Midge,2014-06-05,2014,6,22,5,156,0.007073604,0,0.007073604,0.007073604,-1.971688914,,,,,,,,,
Midge,2014-06-12,2014,6,23,12,163,0,0,0,-0.007073604,-2.443697499,,,,,,,,,
Midge,2014-06-19,2014,6,24,19,170,0.07073604,0.063662436,0.134398477,0.134398477,-0.860125707,2014-06-16,1.98,5.75,7,I,6.69,0.008,94.7,1.19
Midge,2014-06-26,2014,6,25,26,177,0.091956852,0.134398477,0.226355329,0.091956853,-0.638356522,,,,,,,,,
Midge,2014-07-02,2014,7,26,2,183,0.671992383,0.650771571,1.322763954,1.096408625,0.122662711,,,,,,,,,
Midge,2014-07-09,2014,7,27,9,190,3.027502526,0.700286799,3.727789325,2.405025371,0.571870565,,,,,,,,,
Midge,2014-07-17,2014,7,28,17,198,0.742728424,0.190987309,0.933715732,-2.794073593,-0.028114094,2014-07-14,0.92,6.75,7,I,6.69,0.004,92.1,0.77
Midge,2014-07-23,2014,7,29,23,204,1.025672585,0.693213195,1.71888578,0.785170048,0.236155645,,,,,,,,,
Midge,2014-07-30,2014,7,30,30,211,1.202512686,0.099030457,1.301543142,-0.417342638,0.115658146,,,,,,,,,
Midge,2014-08-06,2014,8,31,6,218,1.626928928,0.077809644,1.704738572,0.40319543,0.232573947,,,,,,,,,
Midge,2014-08-12,2014,8,32,12,224,0.551741115,0.028294416,0.580035531,-1.124703041,-0.233858277,2014-08-11,1.25,7,7,I,7,0.004,93.3,0.88
Midge,2014-08-20,2014,8,33,20,232,2.440393391,0.007073604,2.447466995,1.867431465,0.389355182,,,,,,,,,
Midge,2014-08-27,2014,8,34,27,239,0.282944161,0.021220812,0.304164973,-2.143302022,-0.511780809,,,,,,,,,
Midge,2014-09-04,2014,9,35,4,247,1.138850249,0.007073604,1.145923853,0.84175888,0.060517987,2014-09-02,2.15,6,7,I,6.86,0.004,92.5,0.85
Midge,2014-09-10,2014,9,36,10,253,0.40319543,0,0.40319543,-0.742728424,-0.390623935,,,,,,,,,
Midge,2014-09-17,2014,9,37,17,260,1.945241109,0.021220812,1.966461921,1.563266491,0.294479877,,,,,,,,,
Midge,2014-09-25,2014,9,38,25,268,0.099030457,0,0.099030457,-1.867431465,-0.988723737,,,,,,,,,
Midge,2014-10-03,2014,10,39,3,276,0.014147208,0,0.014147208,-0.084883248,-1.750869961,,,,,,,,,
Midge,2014-10-10,2014,10,40,10,283,0.127324873,0,0.127324873,0.113177665,-0.882977839,,,,,,,,,
Midge,2015-05-14,2015,5,19,14,134,0,0,0,-0.127324873,-2.443697499,,,,,,,,,
Midge,2015-05-21,2015,5,20,21,141,0.007073604,0,0.007073604,0.007073604,-1.971688914,,,,,,,,,
Midge,2015-05-28,2015,5,21,28,148,0.113177665,0.014147208,0.127324873,0.120251269,-0.882977839,,,,,,,,,
Midge,2015-06-05,2015,6,22,5,156,0.007073604,0,0.007073604,-0.120251269,-1.971688914,,,,,,,,,
Midge,2015-06-11,2015,6,23,11,162,0.014147208,0,0.014147208,0.007073604,-1.750869961,,,,,,,,,
Midge,2015-06-19,2015,6,24,19,170,0.077809644,0.014147208,0.091956852,0.077809644,-1.019738166,2015-06-17,1.25,8,7,I,6.64,0.008,96.7,1.26
Midge,2015-07-02,2015,7,26,2,183,0.07073604,0.007073604,0.077809644,-0.014147208,-1.089324144,,,,,,,,,
Midge,2015-07-09,2015,7,27,9,190,0.028294416,0.014147208,0.042441624,-0.03536802,-1.336849366,,,,,,,,,
Midge,2015-07-16,2015,7,28,16,197,0.141472081,0.049515228,0.190987309,0.148545685,-0.710885488,2015-07-15,1.63,6.25,7,I,6.54,0.004,95.2,0.52
Midge,2015-07-30,2015,7,30,30,211,1.237880706,0.162692893,1.400573599,1.20958629,0.147420803,,,,,,,,,
Midge,2015-08-06,2015,8,31,6,218,0.106104061,0.077809644,0.183913705,-1.216659894,-0.726966985,,,,,,,,,
Midge,2015-08-13,2015,8,32,13,225,0.261723349,0.120251269,0.381974618,0.198060913,-0.413891563,2015-08-10,1.06,6.25,7,I,6.75,0.005,100.3,1.26
Midge,2015-08-20,2015,8,33,20,232,0.721507611,0.077809644,0.799317256,0.417342638,-0.095329208,,,,,,,,,
Midge,2015-08-25,2015,8,34,25,237,0.565888323,0.099030457,0.664918779,-0.134398477,-0.174886389,,,,,,,,,
Midge,2015-09-03,2015,9,35,3,246,0.884200504,0.063662436,0.94786294,0.282944161,-0.021608123,,,,,,,,,
Midge,2015-09-10,2015,9,36,10,253,13.59546695,0.50929949,14.10476644,13.1569035,1.149476731,2015-09-10,1.25,6.6,7,I,6.85,0.009,99.1,0.67
Midge,2015-09-17,2015,9,37,17,260,2.100860398,0,2.100860398,-12.00390604,0.323140758,,,,,,,,,
Midge,2015-09-24,2015,9,38,24,267,0.77102284,0,0.77102284,-1.329837558,-0.110909702,,,,,,,,,
Midge,2015-10-02,2015,10,39,2,275,0.381974618,0,0.381974618,-0.389048222,-0.413891563,,,,,,,,,
Midge,2015-10-12,2015,10,41,12,285,0.063662436,0,0.063662436,-0.318312182,-1.172227408,,,,,,,,,
Midge,2016-05-26,2016,5,21,26,147,0.063662436,0.03536802,0.099030457,0.03536802,-0.988723737,,,,,,,,,
Midge,2016-06-03,2016,6,22,3,155,0.049515228,0.014147208,0.063662436,-0.03536802,-1.172227408,,,,,,,,,
Midge,2016-06-16,2016,6,24,16,168,0.091956852,0.014147208,0.106104061,0.042441624,-0.959777296,2016-06-14,1.09,5.75,8.3,I,7.1,0.004,98.7,1.4
Midge,2016-06-23,2016,6,25,23,175,1.117629437,0.488078678,1.605708116,1.499604055,0.206639202,,,,,,,,,
Midge,2016-06-30,2016,6,26,30,182,2.603086284,0.919568524,3.522654809,1.916946693,0.547313691,,,,,,,,,
Midge,2016-07-07,2016,7,27,7,189,0.212208121,0.091956852,0.304164973,-3.218489835,-0.511780809,,,,,,,,,
