site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,week,WindSp_ms_mean_ALL_InstFilterInstMax,WindSp_ms_mean_ALL_InstFilterAveMax,WindSp_ms_mean_ALL_AveFilterInstMax,WindSp_ms_mean_ALL_AveFilterAveMax,WindSp_ms_median_ALL_InstFilterInstMax,WindSp_ms_median_ALL_InstFilterAveMax,WindSp_ms_median_ALL_AveFilterInstMax,WindSp_ms_median_ALL_AveFilterAveMax,WindSp_ms_min_ALL_InstFilterInstMax,WindSp_ms_min_ALL_InstFilterAveMax,WindSp_ms_min_ALL_AveFilterInstMax,WindSp_ms_min_ALL_AveFilterAveMax,WindSp_ms_max_ALL_InstFilterInstMax,WindSp_ms_max_ALL_InstFilterAveMax,WindSp_ms_max_ALL_AveFilterInstMax,WindSp_ms_max_ALL_AveFilterAveMax,WindSp_ms_sd_ALL_InstFilterInstMax,WindSp_ms_sd_ALL_InstFilterAveMax,WindSp_ms_sd_ALL_AveFilterInstMax,WindSp_ms_sd_ALL_AveFilterAveMax,WindSp_ms_cv_ALL_InstFilterInstMax,WindSp_ms_cv_ALL_InstFilterAveMax,WindSp_ms_cv_ALL_AveFilterInstMax,WindSp_ms_cv_ALL_AveFilterAveMax,MaxWindSp_ms_max_ALL_InstFilterMax.x,MaxWindSp_ms_max_ALL_AveFilterMax,MaxWindSp_ms_max_ALL_InstFilterMax.y,sum_2,sum_3,sum_5,sum_7,sum_10,sum_14
Midge,2006-07-31,2006,7,31,212,3.317520292,NA,3.317520292,3.310446688,0.521284606,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-07,2006,8,7,219,1.846210653,NA,1.846210653,-1.471309639,0.267127276,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-14,2006,8,14,226,1.068114209,NA,1.068114209,-0.778096444,0.030078989,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-21,2006,8,21,233,0.94786294,NA,0.94786294,-0.120251269,-0.021608123,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-28,2006,8,28,240,1.124703041,NA,1.124703041,0.176840101,0.052425759,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-09-08,2006,9,8,251,2.857736029,NA,2.857736029,1.733032988,0.456568863,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-09-12,2006,9,12,255,0.346606598,NA,0.346606598,-2.511129431,-0.455675676,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-09-18,2006,9,18,261,0.268796953,NA,0.268796953,-0.077809645,-0.564797755,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-06-21,2007,6,21,172,0,0,0,-0.268796953,-2.443697499,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-06-28,2007,6,28,179,0.014147208,0,0.014147208,0.014147208,-1.750869961,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-05,2007,7,5,186,0.240502537,0,0.240502537,0.226355329,-0.612427707,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-12,2007,7,12,193,0.056588832,0.014147208,0.07073604,-0.169766497,-1.128800578,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-19,2007,7,19,200,0.091956852,0.190987309,0.282944161,0.212208121,-0.542808437,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-26,2007,7,26,207,0.551741115,0.176840101,0.728581215,0.445637054,-0.135381418,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-02,2007,8,2,214,1.619855324,3.077017754,4.696873078,3.968291863,0.67214157,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-09,2007,8,9,221,5.658883227,10.56089082,16.21977405,11.52290097,1.210141181,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-16,2007,8,16,228,0.8771269,0.679065987,1.556192887,-14.66358116,0.193066936,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-23,2007,8,23,235,0.580035531,0.077809644,0.657845175,-0.898347712,-0.179506147,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-30,2007,8,30,242,22.15452783,0.43856345,22.59309128,21.93524611,1.354044852,34,2.264583333,2.264583333,2.264583333,2.264583333,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,10.3,10.3,10.3,10.3,1.552055652,1.552055652,1.552055652,1.552055652,0.685360362,0.685360362,0.685360362,0.685360362,10.3,10.3,10.3,15.600000000000001,19.4,NA,NA,NA,NA
Midge,2007-09-06,2007,9,6,249,4.78882993,0,4.78882993,-17.80426135,0.680555772,35,3.117361111,3.117361111,3.117361111,3.117361111,3,3,3,3,0.6,0.6,0.6,0.6,6.8,6.8,6.8,6.8,1.352507635,1.352507635,1.352507635,1.352507635,0.433862997,0.433862997,0.433862997,0.433862997,6.8,6.8,6.8,12.5,22.1,37.1,54.4,73.8,NA
Midge,2007-09-13,2007,9,13,256,3.466065976,0,3.466065976,-1.322763954,0.540287667,36,2.198611111,2.198611111,2.198611111,2.198611111,2,2,2,2,0.3,0.3,0.3,0.3,5.3,5.3,5.3,5.3,1.081308849,1.081308849,1.081308849,1.081308849,0.491814511,0.491814511,0.491814511,0.491814511,5.3,5.3,5.3,15.8,22.4,32.8,50.7,72.8,105.1
Midge,2007-09-20,2007,9,20,263,2.440393391,0.014147208,2.4545406,-1.011525377,0.39060672,37,2.26875,2.26875,2.26875,2.26875,2.3,2.3,2.3,2.3,0.2,0.2,0.2,0.2,4.8,4.8,4.8,4.8,1.127313084,1.127313084,1.127313084,1.127313084,0.49688731,0.49688731,0.49688731,0.49688731,4.8,4.8,4.8,8,12.9,23.3,44.1,66.5,94.8
Midge,2008-06-05,2008,6,5,157,0,0,0,-2.4545406,-2.443697499,22,3.165972222,3.165972222,3.165972222,3.165972222,3.1,3.1,3.1,3.1,0.9,0.9,0.9,0.9,5.8,5.8,5.8,5.8,0.983796215,0.983796215,0.983796215,0.983796215,0.310740634,0.310740634,0.310740634,0.310740634,5.8,5.8,5.8,12.8,19.9,36.5,48.8,78.5,116.7
Midge,2008-06-12,2008,6,12,164,0.056588832,0,0.056588832,0.056588832,-1.220484084,23,4.035416667,4.035416667,4.035416667,4.035416667,3.95,3.95,3.95,3.95,0.4,0.4,0.4,0.4,8.9,8.9,8.9,8.9,1.843585316,1.843585316,1.843585316,1.843585316,0.456851292,0.456851292,0.456851292,0.456851292,8.9,8.9,8.9,18.1,26.9,41.4,56.7,76.6,105.5
Midge,2008-06-19,2008,6,19,171,0.572961927,0,0.572961927,0.516373094,-0.239154039,24,3.409027778,3.409027778,3.409027778,3.409027778,3.25,3.25,3.25,3.25,1,1,1,1,6.8,6.8,6.8,6.8,1.366937939,1.366937939,1.366937939,1.366937939,0.400975887,0.400975887,0.400975887,0.400975887,6.8,6.8,6.8,13.1,21,35.4,44.7,71.6,101.4
Midge,2008-06-26,2008,6,26,178,0.247576141,0,0.247576141,-0.325385786,-0.600021616,25,2.259722222,2.259722222,2.259722222,2.259722222,2.1,2.1,2.1,2.1,0.2,0.2,0.2,0.2,6.9,6.9,6.9,6.9,1.158146545,1.158146545,1.158146545,1.158146545,0.512517217,0.512517217,0.512517217,0.512517217,6.9,6.9,6.9,14.4,26,41.7,56,77,100.7
Midge,2008-07-03,2008,7,3,185,2.829441613,0.113177665,2.942619278,2.695043137,0.469265067,26,3.995138889,3.995138889,3.995138889,3.995138889,3.6,3.6,3.6,3.6,0.6,0.6,0.6,0.6,10.5,10.5,10.5,10.5,2.011829695,2.011829695,2.011829695,2.011829695,0.5035694,0.5035694,0.5035694,0.5035694,10.5,10.5,10.5,16.6,23.7,36.1,56.199999999999996,82.2,112.2
Midge,2008-07-10,2008,7,10,192,0.954936545,0,0.954936545,-1.987682733,-0.018391325,27,4.178472222,4.178472222,4.178472222,4.178472222,4,4,4,4,1.2,1.2,1.2,1.2,8.2,8.2,8.2,8.2,1.626578338,1.626578338,1.626578338,1.626578338,0.389275853,0.389275853,0.389275853,0.389275853,8.2,8.2,8.2,16.2,24.2,37.3,47.4,71.1,103.6
Midge,2008-07-17,2008,7,17,199,3.727789325,0,3.727789325,2.772852781,0.571870565,28,2.2375,2.2375,2.2375,2.2375,2.05,2.05,2.05,2.05,0.2,0.2,0.2,0.2,6,6,6,6,1.171268812,1.171268812,1.171268812,1.171268812,0.523472095,0.523472095,0.523472095,0.523472095,6,6,6,10.7,18,34.8,46.8,71,94.2
Midge,2008-07-24,2008,7,24,206,0.523446698,0.007073604,0.530520303,-3.197269023,-0.272360913,29,4.190972222,4.190972222,4.190972222,4.190972222,4.1,4.1,4.1,4.1,1.1,1.1,1.1,1.1,8.5,8.5,8.5,8.5,1.420524536,1.420524536,1.420524536,1.420524536,0.338948688,0.338948688,0.338948688,0.338948688,8.5,8.5,8.5,15.9,24.1,37.7,57.4,75.4,104.2
Midge,2008-07-31,2008,7,31,213,10.8721294,0.113177665,10.98530706,10.45478676,1.0409545,30,2.185416667,2.185416667,2.185416667,2.185416667,2,2,2,2,0.2,0.2,0.2,0.2,6.8,6.8,6.8,6.8,1.297225051,1.297225051,1.297225051,1.297225051,0.593582483,0.593582483,0.593582483,0.593582483,6.8,6.8,6.8,11.3,18.1,34.3,49.2,73.3,106.6
Midge,2008-08-07,2008,8,7,220,1.181291874,0.014147208,1.195439082,-9.789867981,0.078833339,31,2.661805556,2.661805556,2.661805556,2.661805556,2.3,2.3,2.3,2.3,0.2,0.2,0.2,0.2,9.2,9.2,9.2,9.2,1.756187723,1.756187723,1.756187723,1.756187723,0.659773108,0.659773108,0.659773108,0.659773108,9.2,9.2,9.2,17.2,24.2,39.2,49.7,67.8,98.9
Midge,2008-08-14,2008,8,14,227,0.222818527,0.03536802,0.258186547,-0.937252534,-0.582052675,32,2.107638889,2.107638889,2.107638889,2.107638889,2.05,2.05,2.05,2.05,0.3,0.3,0.3,0.3,5.1,5.1,5.1,5.1,0.994325147,0.994325147,0.994325147,0.994325147,0.471772063,0.471772063,0.471772063,0.471772063,5.1,5.1,5.1,11.7,23.2,37.9,48.9,73.1,98.6
Midge,2008-08-21,2008,8,21,234,0.622477155,0.014147208,0.636624363,0.378437816,-0.193667803,33,2.319444444,2.319444444,2.319444444,2.319444444,2,2,2,2,0.1,0.1,0.1,0.1,5.2,5.2,5.2,5.2,1.223332476,1.223332476,1.223332476,1.223332476,0.52742478,0.52742478,0.52742478,0.52742478,5.2,5.2,5.2,15.7,26.3,41.3,53.5,76.7,102.4
Midge,2008-08-26,2008,8,26,239,0.106104061,0,0.106104061,-0.530520303,-0.959777296,34,4.365972222,4.365972222,4.365972222,4.365972222,4.25,4.25,4.25,4.25,0.4,0.4,0.4,0.4,10.3,10.3,10.3,10.3,2.013387473,2.013387473,2.013387473,2.013387473,0.46115444,0.46115444,0.46115444,0.46115444,10.3,10.3,10.3,20.200000000000003,26.5,36.2,51.9,77.5,101.4
Midge,2008-09-04,2008,9,4,248,0.749802028,0,0.749802028,0.643697967,-0.122973215,35,2.238194444,2.238194444,2.238194444,2.238194444,2.2,2.2,2.2,2.2,0.1,0.1,0.1,0.1,5.9,5.9,5.9,5.9,1.157583481,1.157583481,1.157583481,1.157583481,0.517195226,0.517195226,0.517195226,0.517195226,5.9,5.9,5.9,10.3,16.3,35.2,47.7,70.1,96
Midge,2008-09-10,2008,9,10,254,0.014147208,0,0.014147208,-0.735654819,-1.750869961,36,3.520833333,3.520833333,3.520833333,3.520833333,3.05,3.05,3.05,3.05,0.3,0.3,0.3,0.3,8.3,8.3,8.3,8.3,1.62600695,1.62600695,1.62600695,1.62600695,0.461824459,0.461824459,0.461824459,0.461824459,8.3,8.3,8.3,17.3,24.4,38.7,55.5,75.7,103.9
Midge,2008-09-17,2008,9,17,261,0.198060913,0,0.198060913,0.183913705,-0.695378271,37,2.886111111,2.886111111,2.886111111,2.886111111,2.9,2.9,2.9,2.9,1,1,1,1,5.4,5.4,5.4,5.4,0.911742442,0.911742442,0.911742442,0.911742442,0.31590691,0.31590691,0.31590691,0.31590691,5.4,5.4,5.4,12,29.2,43.2,55.6,80,111.1
Midge,2008-09-24,2008,9,24,268,0.226355329,0,0.226355329,0.028294416,-0.638356522,38,2.547916667,2.547916667,2.547916667,2.547916667,2.6,2.6,2.6,2.6,0.4,0.4,0.4,0.4,5,5,5,5,1.058430607,1.058430607,1.058430607,1.058430607,0.415410214,0.415410214,0.415410214,0.415410214,5,5,5,9.9,15.4,26.6,43.9,73.1,99.5
Midge,2009-05-15,2009,5,15,135,0,0,0,-0.226355329,-2.443697499,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-05-29,2009,5,29,149,0.014147208,0,0.014147208,0.014147208,-1.750869961,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-06-04,2009,6,4,155,0.007073604,0,0.007073604,-0.007073604,-1.971688914,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-06-17,2009,6,17,168,0.03536802,0,0.03536802,0.028294416,-1.409291661,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-06-25,2009,6,25,176,0.014147208,0,0.014147208,-0.021220812,-1.750869961,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-02,2009,7,2,183,0,0,0,-0.014147208,-2.443697499,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-09,2009,7,9,190,0.056588832,0.021220812,0.077809644,0.077809644,-1.089324144,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-16,2009,7,16,197,0.205134517,0.007073604,0.212208121,0.134398477,-0.665932217,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-23,2009,7,23,204,0.544667511,0.007073604,0.551741115,0.339532994,-0.255440172,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-30,2009,7,30,211,0.799317256,0.007073604,0.80639086,0.254649745,-0.091519882,30,3.194117647,3.201397059,3.141726619,3.148417266,2.9,2.9775,2.9,2.97,0.6,0.535,0.5,0.535,7,6.82,7,6.82,1.235329598,1.132009634,1.272615661,1.175633815,0.38675144,0.353598636,0.405068873,0.373404703,7,6.82,7,26.6,33.2,NA,NA,NA,NA
Midge,2009-08-06,2009,8,6,218,0.346606598,0.007073604,0.353680202,-0.452710658,-0.446991049,31,2.993478261,2.932355072,3.035,2.972964286,2.7,2.6775,2.7,2.685,0.4,0.94,0.4,1.085,7.3,5.795,7.3,5.795,1.366449206,1.079505698,1.353010233,1.058440365,0.456475407,0.368136079,0.445802383,0.35602189,7.3,5.795,7.3,15.300000000000002,22.400000000000002,34.699999999999996,43.9,77.1,NA
Midge,2009-08-13,2009,8,13,225,0.07073604,0,0.07073604,-0.282944161,-1.128800578,32,1.402941176,1.431470588,1.346875,1.36921875,1.3,1.245,1.4,1.27,0.4,0.43,0.4,0.43,3,2.8,2.9,2.395,0.751356468,0.699922647,0.605344144,0.585503794,0.535558069,0.488953565,0.449443448,0.427618884,3,2.395,3,7.8000000000000025,15.3,29.699999999999996,45.2,67.6,89.1
Midge,2009-08-20,2009,8,20,232,3.246784251,0.007073604,3.253857855,3.183121815,0.512878806,33,1.811363636,1.7425,1.615789474,1.5975,1.7,1.5575,1.65,1.4625,0.2,0.565,0.2,0.795,4.1,3.99,3.4,3.145,0.980558908,0.811678923,0.846782883,0.634867245,0.541337415,0.465812868,0.524067583,0.397412986,4.1,3.145,4.1,10.100000000000001,18.400000000000002,27.9,37.5,52.8,82.7
Midge,2009-08-27,2009,8,27,239,0.983230961,0,0.983230961,-2.270626895,-0.005757233,34,3.371323529,3.432860294,3.297887324,3.36728169,3.4,3.4625,3.3,3.405,0.4,1.04,0.4,0.83,6.4,6.34,6.4,6.34,1.332883707,1.174801727,1.362073321,1.205770101,0.39535918,0.342222411,0.413013905,0.35808412,6.4,6.34,6.4,15.000000000000004,19.900000000000002,32.199999999999996,45.5,63.89999999999999,83
Midge,2009-09-01,2009,9,1,244,0.558814719,0,0.558814719,-0.424416242,-0.249943322,35,2.667741935,2.675774194,2.662698413,2.685166667,2.7,2.6575,2.7,2.6225,0.4,0.49,0.3,0.49,4.8,4.45,4.8,4.45,0.993764984,0.867822861,0.992107585,0.847507675,0.372511663,0.324325895,0.372594801,0.315625725,4.8,4.45,4.8,12.900000000000002,19,31.299999999999997,46.3,63.49999999999999,86.9
Midge,2009-09-08,2009,9,8,251,0.261723349,0,0.261723349,-0.297091369,-0.57622453,36,2.929464286,2.8906875,2.920720721,2.892675676,3.05,2.94,3,2.96,0.5,0.565,0.6,0.565,5.4,4.9,5.4,4.9,1.184938391,1.122543364,1.190196097,1.129729889,0.404489789,0.38833093,0.407500823,0.390548411,5.4,4.9,5.4,9.400000000000002,14.200000000000003,26.499999999999996,34.7,53.699999999999996,81
Midge,2009-09-15,2009,9,15,258,0.099030457,0,0.099030457,-0.162692893,-0.988723737,37,3.626612903,3.720120968,3.633858268,3.727362205,3.8,4.075,3.8,4.06,0.6,0.76,0.6,0.76,7.9,6.185,7.9,6.185,1.498677405,1.375215351,1.460170705,1.341525699,0.413244381,0.369669525,0.401823791,0.359912889,7.9,6.185,7.9,15.200000000000003,22.900000000000002,31.699999999999996,43.5,57.699999999999996,78.2
Midge,2009-09-21,2009,9,21,264,4.562474601,0,4.562474601,4.463444145,0.659543003,38,2.685074627,2.721940299,2.706153846,2.756538462,2.9,2.76,2.9,2.805,0.2,0.3,0.2,0.3,5.2,4.655,5.2,4.655,1.186700765,1.127088282,1.200634848,1.120089953,0.44196193,0.414075313,0.443668363,0.406339316,5.2,4.655,5.2,11.100000000000003,21.400000000000002,36.199999999999996,48.5,68.1,89.5
