site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,light_sum,ppt_mm.x,airtemp_min_degrees_C,airtemp_mean_degrees_C,airtemp_max_degrees_C,ppt_mm.y,sum_3,sum_5,sum_7,sum_10,sum_14
Midge,2008-08-14,2008,8,32,14,227,0.222818527,0.03536802,0.258186547,-0.937252534,-0.582052675,NA,0,12.1,18,23.8,0,16.540000000000003,18.49,28.569999999999993,60.88,86.57000000000001
Midge,2008-08-21,2008,8,33,21,234,0.622477155,0.014147208,0.636624363,0.378437816,-0.193667803,NA,0,7.5,14.1,20.7,0,7.640000000000002,9.16,9.319999999999995,25.859999999999996,37.89
Midge,2008-08-26,2008,8,34,26,239,0.106104061,0,0.106104061,-0.530520303,-0.959777296,NA,0,8.3,16.6,24.8,0,2.7373936450914016e-15,5.134781488891349e-16,2.2499999999999956,9.159999999999998,13.420000000000002
Midge,2008-09-04,2008,9,35,4,248,0.749802028,0,0.749802028,0.643697967,-0.122973215,NA,0,12.9,19.4,25.9,0,2.7373936450914016e-15,5.134781488891349e-16,-4.475586568020162e-15,-1.4016565685892601e-15,1.908195823574488e-15
Midge,2008-09-10,2008,9,36,10,254,0.014147208,0,0.014147208,-0.735654819,-1.750869961,NA,14.29,7.5,13.2,18.9,14.29,14.290000000000003,74.87,74.86999999999999,74.86999999999999,74.87
Midge,2008-09-17,2008,9,37,17,261,0.198060913,0,0.198060913,0.183913705,-0.695378271,NA,0,6.6,12.4,18.1,0,4.890000000000002,22.5,22.499999999999993,36.79,97.37
Midge,2008-09-24,2008,9,38,24,268,0.226355329,0,0.226355329,0.028294416,-0.638356522,NA,0,3.2,10.5,17.7,0,2.7373936450914016e-15,1.4016565685892601e-15,-6.251943407420413e-15,4.889999999999998,22.5
Midge,2009-05-15,2009,5,19,15,135,0,0,0,-0.226355329,-2.443697499,NA,3.15,8.5,12,15.5,3.15,3.15,3.150000000000001,14.889999999999999,36.23,37.419999999999995
Midge,2009-05-29,2009,5,21,29,149,0.014147208,0,0.014147208,0.014147208,-1.750869961,285449,9.2,7.1,7.9,8.6,9.2,24.58,25.02,25.049999999999997,25.049999999999997,37.309999999999995
Midge,2009-06-04,2009,6,22,4,155,0.007073604,0,0.007073604,-0.007073604,-1.971688914,125431.9,0,6.6,13.5,20.3,0,6.938893903907228e-16,0.9200000000000015,12.729999999999997,28.11,28.579999999999995
Midge,2009-06-17,2009,6,24,17,168,0.03536802,0,0.03536802,0.028294416,-1.409291661,136487.1,0,5.8,13.1,20.4,0,6.0000000000000036,10.540000000000001,42.75,57.199999999999996,57.199999999999996
Midge,2009-06-25,2009,6,25,25,176,0.014147208,0,0.014147208,-0.021220812,-1.750869961,283232.2,1.53,16.4,19.5,22.6,1.53,2.9000000000000052,3.319999999999999,24.849999999999998,28.93,67.53
Midge,2009-07-02,2009,7,26,2,183,0,0,0,-0.014147208,-2.443697499,61440.9,15.3,14.5,16.1,17.6,15.3,36.10000000000001,48.11,50.01,52.91,74.86
Midge,2009-07-09,2009,7,27,9,190,0.056588832,0.021220812,0.077809644,0.077809644,-1.089324144,287569.5,0.9,11.5,15,18.5,0.9,12.670000000000007,21.859999999999996,37.4,73.5,87.41
Midge,2009-07-16,2009,7,28,16,197,0.205134517,0.007073604,0.212208121,0.134398477,-0.665932217,198401.4,0,10.9,17.4,23.9,0,6.189493362285248e-15,5.789999999999998,5.789999999999998,18.46,43.19
Midge,2009-07-23,2009,7,29,23,204,0.544667511,0.007073604,0.551741115,0.339532994,-0.255440172,194117.1,0,14.4,18.5,22.6,0,15.150000000000006,15.149999999999999,32.769999999999996,32.769999999999996,38.559999999999995
Midge,2009-07-30,2009,7,30,30,211,0.799317256,0.007073604,0.80639086,0.254649745,-0.091519882,177152.8,27.64,18,23.3,28.7,27.64,28.650000000000006,34.87,69.45,84.60000000000001,102.22
Midge,2009-08-06,2009,8,31,6,218,0.346606598,0.007073604,0.353680202,-0.452710658,-0.446991049,322810.4,0,10.8,18.5,26.2,0,6.078471059822732e-15,3.6899999999999973,39.629999999999995,68.28,109.08
Midge,2009-08-13,2009,8,32,13,225,0.07073604,0,0.07073604,-0.282944161,-1.128800578,166712,0,16.6,20.3,24.1,0,20.980000000000008,20.979999999999997,20.979999999999997,20.980000000000004,60.61
Midge,2009-08-20,2009,8,33,20,232,3.246784251,0.007073604,3.253857855,3.183121815,0.512878806,262974.3,0,15,21.8,28.6,0,6.078471059822732e-15,-2.7478019859472624e-15,-4.538036613155327e-15,20.980000000000004,20.979999999999997
Midge,2009-08-27,2009,8,34,27,239,0.983230961,0,0.983230961,-2.270626895,-0.005757233,59858.9,0,8,16.3,24.7,0,1.0400000000000051,11.989999999999997,34.72999999999999,34.730000000000004,34.73
Midge,2009-09-01,2009,9,35,1,244,0.558814719,0,0.558814719,-0.424416242,-0.249943322,14714.1,0,5.5,11.9,18.4,0,12.050000000000006,32.62,32.62,44.61000000000001,67.35
Midge,2009-09-08,2009,9,36,8,251,0.261723349,0,0.261723349,-0.297091369,-0.57622453,NA,0,7.8,13.7,19.6,0,5.190292640122607e-15,-8.326672684688674e-17,-4.538036613155327e-15,12.050000000000004,32.62
Midge,2009-09-15,2009,9,37,15,258,0.099030457,0,0.099030457,-0.162692893,-0.988723737,NA,2,9.4,15.4,21.5,2,8.380000000000004,10.58,10.579999999999995,10.580000000000004,10.579999999999995
Midge,2009-09-21,2009,9,38,21,264,4.562474601,0,4.562474601,4.463444145,0.659543003,NA,0,1.9,11.1,20.4,0,1.400000000000005,1.4,3.3999999999999955,11.980000000000004,11.979999999999995
Midge,2009-10-05,2009,10,40,5,278,0.756875632,0,0.756875632,-3.80559897,-0.118914698,NA,0,7.6,13.6,19.6,0,23.85000000000001,23.93,27.689999999999994,43.800000000000004,44.22
Midge,2010-04-15,2010,4,15,15,105,0.028294416,0,0.028294416,-0.728581215,-1.496285346,NA,0,-2.4,7.3,16.9,0,0,0,8.4,10.43,10.43
Midge,2010-04-30,2010,4,17,30,120,0.099030457,0,0.099030457,0.07073604,-0.988723737,NA,0,-1.8,5.1,11.9,0,9.11,11.75,11.75,12.08,43.28
Midge,2010-05-13,2010,5,19,13,133,0,0,0,-0.099030457,-2.443697499,NA,0,-1.3,5.3,12,0,-1.1102230246251565e-16,7.950000000000001,18.6,24.900000000000002,24.900000000000002
Midge,2010-05-25,2010,5,21,25,145,0.042441624,0.007073604,0.049515228,0.049515228,-1.27478095,NA,0,13.1,20.8,28.6,0,-1.1102230246251565e-16,4.440892098500626e-16,12.68,12.68,19.21
Midge,2010-06-04,2010,6,22,4,155,0.148545685,0,0.148545685,0.099030457,-0.81774036,589337.3,2.66,13.2,19.1,25.1,2.66,5.52,6.23,9.76,18.279999999999998,18.28
Midge,2010-06-10,2010,6,23,10,161,0.014147208,0,0.014147208,-0.134398477,-1.750869961,150071.5,3.57,7.8,13.5,19.3,3.57,3.5700000000000007,20.37,39,42.57,46.1
Midge,2010-06-15,2010,6,24,15,166,0.021220812,0,0.021220812,0.007073604,-1.605184015,818846.4,0,8.2,16,23.8,0,3.0900000000000007,8.800000000000002,12.370000000000001,29.169999999999998,50.660000000000004
Midge,2010-06-24,2010,6,25,24,175,0.07073604,0,0.07073604,0.049515228,-1.128800578,331314.8,0,17.1,21.9,26.7,0,9.310000000000002,11.100000000000001,11.100000000000001,13.049999999999999,21.85
Midge,2010-07-01,2010,7,26,1,182,1.485456847,0.43856345,1.924020297,1.853284257,0.285021491,615989.2,0,8.3,14.5,20.8,0,0.7700000000000009,8.460000000000003,14.330000000000002,23.64,25.430000000000003
Midge,2010-07-08,2010,7,27,8,189,0.063662436,0,0.063662436,-1.860357861,-1.172227408,581598.1,0,20.1,26.9,33.8,0,8.881784197001252e-16,1.9984014443252818e-15,0.3800000000000011,1.1499999999999988,14.71
Midge,2010-07-15,2010,7,28,15,196,0.028294416,0.028294416,0.056588832,-0.007073604,-1.220484084,124659.2,3.22,19,22.2,25.4,3.22,26.130000000000003,40.13,41.15,41.15,41.53
Midge,2010-07-22,2010,7,29,22,203,0.290017765,0.198060913,0.488078678,0.431489846,-0.308318625,30560,12.31,15,22.1,29.1,12.31,14.780000000000003,15.360000000000003,16.87,43,58.02
Midge,2010-07-29,2010,7,30,29,210,0.106104061,0,0.106104061,-0.381974618,-0.959777296,224413.7,2.7,17.2,23.6,29.9,2.7,2.700000000000003,10.140000000000002,10.900000000000002,25.680000000000003,27.770000000000003
Midge,2010-08-05,2010,8,31,5,217,8.742974585,7.002867993,15.74584258,15.63973852,1.197265187,290153.7,0,20,25.1,30.1,0,11.590000000000003,11.590000000000002,11.590000000000002,14.290000000000001,22.490000000000002
Midge,2010-08-12,2010,8,32,12,224,1.945241109,33.86134251,35.80658362,20.06074104,1.554006548,592028.2,0,14.4,21.1,27.7,0,5.820000000000003,5.820000000000002,13.030000000000003,24.62,24.62
Midge,2010-08-19,2010,8,33,19,231,42.087944,2.256479687,44.34442368,8.537840068,1.646874271,638819.9,0,13.8,20.4,27,0,1.1700000000000028,4.110000000000001,4.160000000000002,9.98,17.19
Midge,2010-08-26,2010,8,34,26,238,4.661505058,0.063662436,4.725167494,-39.61925619,0.674747961,404283.5,7.16,14.2,16.3,18.5,7.16,11.570000000000004,22.700000000000003,22.700000000000003,23.87,26.860000000000003
Midge,2010-09-02,2010,9,35,2,245,0.495152282,0,0.495152282,-4.230015212,-0.302115104,342735.7,0,17.8,25.1,32.5,0,2.869232629265639e-15,1.7763568394002505e-15,2.661065812148422e-15,11.57,22.700000000000003
Midge,2010-09-09,2010,9,36,9,252,0.40319543,0,0.40319543,-0.091956852,-0.390623935,283705.5,0,12.3,17.8,23.3,0,3.7100000000000026,3.7100000000000017,8.150000000000002,8.15,8.150000000000002
Midge,2010-09-16,2010,9,37,16,259,0.148545685,0,0.148545685,-0.254649745,-0.81774036,250993.5,0,4.2,10,15.8,0,6.160000000000003,8.030000000000001,8.270000000000003,11.98,16.42
Midge,2010-09-23,2010,9,38,23,266,0.049515228,0,0.049515228,-0.099030457,-1.27478095,NA,1.03,9.2,16.8,24.3,1.03,1.030000000000002,1.0300000000000018,16.51,22.67,24.78
Midge,2010-09-30,2010,9,39,30,273,0.014147208,0,0.014147208,-0.03536802,-1.750869961,NA,0.37,13.6,18.3,23,0.37,20.040000000000003,20.09,20.09,21.12,36.6
Midge,2010-10-07,2010,10,40,7,280,0.042441624,0,0.042441624,0.028294416,-1.336849366,NA,14.76,8.4,10.2,12,14.76,15.379999999999999,15.38,93.14,113.17999999999999,113.23
Midge,2011-04-28,2011,4,17,28,118,0,0,0,-0.042441624,-2.443697499,NA,0.56,10,17.7,25.4,0.56,14.030000000000001,27.64,28.26,33.160000000000004,65.44
Midge,2011-05-05,2011,5,18,5,125,0,0,0,0,-2.443697499,NA,11.22,5.1,8.7,12.4,11.22,12.530000000000001,12.530000000000003,19.95,33.980000000000004,48.21000000000001
Midge,2011-05-12,2011,5,19,12,132,0,0,0,0,-2.443697499,NA,0,4,11.4,18.8,0,1.3322676295501878e-15,1.5800000000000018,1.9800000000000004,14.510000000000003,21.930000000000007
Midge,2011-05-19,2011,5,20,19,139,0,0,0,0,-2.443697499,NA,17.71,10.9,12.4,13.9,17.71,27.55,67.78,67.78,67.78,69.76
Midge,2011-05-26,2011,5,21,26,146,0,0,0,0,-2.443697499,NA,0,11.6,18.3,24.9,0,1.3600000000000012,13.069999999999999,25.95,53.5,93.73
Midge,2011-06-02,2011,6,22,2,153,0.007073604,0,0.007073604,0.007073604,-1.971688914,NA,0.36,14.8,22.5,30.2,0.36,0.3600000000000011,0.3699999999999992,0.96,2.3200000000000043,26.910000000000004
Midge,2011-06-10,2011,6,23,10,161,0,0,0,-0.007073604,-2.443697499,261391.8,16.05,16.8,23.2,29.7,16.05,20.5,21.45,21.45,21.820000000000004,21.830000000000005
Midge,2011-06-16,2011,6,24,16,167,0,0,0,0,-2.443697499,449653.4,9.36,11.1,18.5,25.8,9.36,14.4,29.56,46.83,51.28000000000001,52.24
Midge,2011-06-23,2011,6,25,23,174,0.007073604,0,0.007073604,0.007073604,-1.971688914,62237.4,32.06,15.4,18.8,22.3,32.06,32.06,33.11,34.52,48.92000000000001,81.35000000000001
Midge,2011-06-30,2011,6,26,30,181,0,0,0,-0.007073604,-2.443697499,315653.1,0,13.6,19,24.3,0,3.3699999999999997,4.359999999999999,22.31,54.370000000000005,56.830000000000005
Midge,2011-07-07,2011,7,27,7,188,0,0,0,0,-2.443697499,571146.3,8.43,15.3,22.6,30,8.43,8.43,9.829999999999998,9.829999999999998,13.200000000000006,32.14000000000001
Midge,2011-07-14,2011,7,28,14,195,0.198060913,0.014147208,0.212208121,0.212208121,-0.665932217,461881.1,12.47,11.9,19.4,26.9,12.47,13.51,13.51,18.41,26.840000000000007,28.240000000000006
Midge,2011-07-21,2011,7,29,21,202,0.148545685,0.007073604,0.155619289,-0.056588832,-0.79800432,414143.2,0,16.7,23.6,30.5,0,2.079999999999999,7.079999999999999,7.079999999999998,20.590000000000007,25.490000000000006
Midge,2011-07-28,2011,7,30,28,209,0.226355329,0,0.226355329,0.07073604,-0.638356522,583783.3,0,12.6,18.8,25.1,0,16.599999999999998,16.599999999999998,17.97,20.050000000000004,25.050000000000004
Midge,2011-08-04,2011,8,31,4,216,0.834685276,0.007073604,0.84175888,0.615403551,-0.072958881,385716.2,0,14.6,20,25.3,0,1.94,1.9999999999999996,17.339999999999996,33.940000000000005,35.31
Midge,2011-08-11,2011,8,32,11,223,0.155619289,0.014147208,0.169766497,-0.671992383,-0.761034826,354748,1.05,14.5,19.8,25.1,1.05,16.490000000000002,32.85,33.73,35.67000000000001,51.07000000000001
Midge,2011-08-18,2011,8,33,18,230,3.232637043,0.870053296,4.102690339,3.932923842,0.613449653,214224.1,0,12.3,19.2,26.1,0,59.81,68.01,68.01,84.50000000000001,101.74000000000001
Midge,2011-08-25,2011,8,34,25,237,2.334289331,0.049515228,2.383804559,-1.71888578,0.377926019,206452.7,0,13.2,18.9,24.6,0,4.03,20.48,20.48,80.29,88.49000000000001
Midge,2011-09-01,2011,9,35,1,244,1.053967001,0,1.053967001,-1.329837558,0.024307891,146023.5,0,13.2,19.5,25.8,0,-5.224987109642143e-15,121.76,126.02000000000001,130.05,146.5
Midge,2011-09-08,2011,9,36,8,251,0.459784262,0,0.459784262,-0.594182739,-0.33405872,142600.3,22.23,13.3,14,14.7,22.23,68.41,84.16,84.16,84.16000000000001,210.18
Midge,2011-09-15,2011,9,37,15,258,0.056588832,0,0.056588832,-0.40319543,-1.220484084,111525.6,1.02,14.3,19.2,24.1,1.02,1.0199999999999956,1.02,1.4799999999999986,69.89000000000001,85.64
Midge,2011-09-22,2011,9,38,22,265,0.014147208,0,0.014147208,-0.042441624,-1.750869961,NA,12.1,10.2,16.3,22.5,12.1,17.519999999999996,17.52,22.21,23.230000000000004,23.689999999999994
Midge,2011-09-29,2011,9,39,29,272,0,0,0,-0.014147208,-2.443697499,NA,12.71,14.8,18.2,21.6,12.71,13.719999999999997,14.450000000000001,26.06,43.580000000000005,48.269999999999996
Midge,2011-10-06,2011,10,40,6,279,0,0,0,0,-2.443697499,NA,0.22,1.9,8.5,15,0.22,13.619999999999997,32.37,85.99,99.71000000000001,112.05
Midge,2012-02-16,2012,2,7,16,47,0,0,0,0,-2.443697499,NA,0,-3.1,1,5.1,NA,NA,NA,NA,NA,NA
Midge,2012-03-29,2012,3,13,29,89,0,0,0,0,-2.443697499,NA,1.26,-2.1,2.2,6.5,NA,NA,NA,NA,NA,NA
Midge,2012-04-13,2012,4,15,13,104,0,0,0,0,-2.443697499,NA,0,-2,5.3,12.5,0,0.92,1.35,1.35,1.35,NA
Midge,2012-04-19,2012,4,16,19,110,0,0,0,0,-2.443697499,NA,0,-0.9,7.3,15.6,0,0,0,0,1.35,1.35
Midge,2012-05-03,2012,5,18,3,124,0,0,0,0,-2.443697499,NA,2.55,5.4,7.6,9.7,2.55,20.569999999999997,20.57,28.419999999999998,36.69,78.42
Midge,2012-05-10,2012,5,19,10,131,0,0,0,0,-2.443697499,NA,11.03,9.3,13,16.6,11.03,40.029999999999994,40.029999999999994,47.519999999999996,68.08999999999999,75.94
Midge,2012-05-17,2012,5,20,17,138,0,0,0,0,-2.443697499,NA,10.31,7.5,15.2,22.9,10.31,31.31,32.05,34.57,74.6,82.09
Midge,2012-05-24,2012,5,21,24,145,0,0,0,0,-2.443697499,NA,0.39,14.4,20.1,25.8,0.39,2.819999999999999,2.8199999999999976,2.8200000000000034,34.13,37.39
Midge,2012-05-31,2012,5,22,31,152,0,0,0,0,-2.443697499,426059.5,0,12.2,18.6,25,0,25.54,25.54,28.250000000000007,31.07,31.069999999999997
Midge,2012-06-07,2012,6,23,7,159,0.042441624,0.007073604,0.049515228,0.049515228,-1.27478095,419299.5,3.66,8.7,13.6,18.4,3.66,8.65,51.08,57.02,82.56,85.27
Midge,2012-06-14,2012,6,24,14,166,0.141472081,0,0.141472081,0.091956853,-0.838416159,NA,2.19,10,16.8,23.6,2.19,16.81,16.809999999999995,20.03,28.679999999999993,77.05
Midge,2012-06-21,2012,6,25,21,173,0.502225886,0.007073604,0.50929949,0.36782741,-0.289967733,NA,0,19.8,26.4,32.9,0,-3.3306690738754696e-16,-2.886579864025407e-15,3.4416913763379853e-15,16.80999999999999,20.029999999999994
Midge,2012-06-28,2012,6,26,28,180,0.007073604,0,0.007073604,-0.502225886,-1.971688914,NA,0,13.8,16.7,19.6,0,3.32,4.179999999999997,4.180000000000003,4.179999999999994,4.179999999999996
Midge,2012-07-05,2012,7,27,5,187,0.282944161,0.021220812,0.304164973,0.297091369,-0.511780809,NA,0.54,16.4,22.8,29.3,0.54,16.209999999999997,16.209999999999997,17.69,21.009999999999994,21.869999999999994
