site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week,light_sum,watertemp_mean,watertemp_min,watertemp_max,watertemp_median,ysi_readings,buoy_interp
midge,2005-10-23,2005,10,23,296,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,0,0
midge,2005-10-24,2005,10,24,297,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,0,0
midge,2005-10-25,2005,10,25,298,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,0,0
midge,2005-10-26,2005,10,26,299,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,0,0
midge,2005-10-27,2005,10,27,300,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,0,0
midge,2005-10-28,2005,10,28,301,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,0,0
midge,2005-10-29,2005,10,29,302,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,0,0
midge,2005-10-30,2005,10,30,303,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,0,0
midge,2005-10-31,2005,10,31,304,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,0,0
midge,2005-11-01,2005,11,1,305,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,0,0
midge,2005-11-02,2005,11,2,306,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,0,0
midge,2005-11-03,2005,11,3,307,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,0,0
midge,2005-11-04,2005,11,4,308,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,0,0
midge,2005-11-05,2005,11,5,309,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,0,0
midge,2005-11-06,2005,11,6,310,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,0,0
midge,2005-11-07,2005,11,7,311,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,0,0
midge,2005-11-08,2005,11,8,312,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,0,0
midge,2005-11-09,2005,11,9,313,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,0,0
midge,2005-11-10,2005,11,10,314,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,0,0
midge,2005-11-11,2005,11,11,315,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,0,0
midge,2005-11-12,2005,11,12,316,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,0,0
midge,2005-11-13,2005,11,13,317,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,0,0
midge,2005-11-14,2005,11,14,318,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,0,0
midge,2005-11-15,2005,11,15,319,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,0,0
midge,2005-11-16,2005,11,16,320,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,0,0
midge,2005-11-17,2005,11,17,321,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,0,0
midge,2005-11-18,2005,11,18,322,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,0,0
midge,2005-11-19,2005,11,19,323,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,0,0
midge,2005-11-20,2005,11,20,324,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,0,0
midge,2005-11-21,2005,11,21,325,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,0,0
midge,2005-11-22,2005,11,22,326,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,0,0
midge,2005-11-23,2005,11,23,327,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,0,0
midge,2005-11-24,2005,11,24,328,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,0,0
midge,2005-11-25,2005,11,25,329,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,0,0
midge,2005-11-26,2005,11,26,330,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,0,0
midge,2005-11-27,2005,11,27,331,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,0,0
midge,2005-11-28,2005,11,28,332,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,0,0
midge,2005-11-29,2005,11,29,333,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,0,0
midge,2005-11-30,2005,11,30,334,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,0,0
midge,2005-12-01,2005,12,1,335,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,0,0
midge,2005-12-02,2005,12,2,336,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,0,0
midge,2005-12-03,2005,12,3,337,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,0,0
midge,2005-12-04,2005,12,4,338,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,0,0
midge,2005-12-05,2005,12,5,339,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,0,0
midge,2005-12-06,2005,12,6,340,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,0,0
midge,2005-12-07,2005,12,7,341,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,0,0
midge,2005-12-08,2005,12,8,342,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,0,0
midge,2005-12-09,2005,12,9,343,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,0,0
midge,2005-12-10,2005,12,10,344,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0,0
midge,2005-12-11,2005,12,11,345,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0,0
midge,2005-12-12,2005,12,12,346,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0,0
midge,2005-12-13,2005,12,13,347,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0,0
midge,2005-12-14,2005,12,14,348,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0,0
midge,2005-12-15,2005,12,15,349,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0,0
midge,2005-12-16,2005,12,16,350,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0,0
midge,2005-12-17,2005,12,17,351,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,0,0
midge,2005-12-18,2005,12,18,352,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,0,0
midge,2005-12-19,2005,12,19,353,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,0,0
midge,2005-12-20,2005,12,20,354,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,0,0
midge,2005-12-21,2005,12,21,355,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,0,0
midge,2005-12-22,2005,12,22,356,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,0,0
midge,2005-12-23,2005,12,23,357,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,0,0
midge,2005-12-24,2005,12,24,358,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,0,0
midge,2005-12-25,2005,12,25,359,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,0,0
midge,2005-12-26,2005,12,26,360,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,0,0
midge,2005-12-27,2005,12,27,361,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,0,0
midge,2005-12-28,2005,12,28,362,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,0,0
midge,2005-12-29,2005,12,29,363,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,0,0
midge,2005-12-30,2005,12,30,364,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,0,0
midge,2005-12-31,2005,12,31,365,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,0,0
midge,2006-01-01,2006,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0
midge,2006-01-02,2006,1,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0
midge,2006-01-03,2006,1,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0
midge,2006-01-04,2006,1,4,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0
midge,2006-01-05,2006,1,5,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0
midge,2006-01-06,2006,1,6,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0
midge,2006-01-07,2006,1,7,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0
midge,2006-01-08,2006,1,8,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0
midge,2006-01-09,2006,1,9,9,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0
midge,2006-01-10,2006,1,10,10,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0
midge,2006-01-11,2006,1,11,11,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0
midge,2006-01-12,2006,1,12,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0
midge,2006-01-13,2006,1,13,13,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0
midge,2006-01-14,2006,1,14,14,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0
midge,2006-01-15,2006,1,15,15,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0
midge,2006-01-16,2006,1,16,16,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0
midge,2006-01-17,2006,1,17,17,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0
midge,2006-01-18,2006,1,18,18,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0
midge,2006-01-19,2006,1,19,19,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0
midge,2006-01-20,2006,1,20,20,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0
midge,2006-01-21,2006,1,21,21,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0
midge,2006-01-22,2006,1,22,22,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0
midge,2006-01-23,2006,1,23,23,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0
midge,2006-01-24,2006,1,24,24,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0
midge,2006-01-25,2006,1,25,25,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0
midge,2006-01-26,2006,1,26,26,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0
midge,2006-01-27,2006,1,27,27,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0
midge,2006-01-28,2006,1,28,28,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0
midge,2006-01-29,2006,1,29,29,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0
midge,2006-01-30,2006,1,30,30,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0
midge,2006-01-31,2006,1,31,31,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0
midge,2006-02-01,2006,2,1,32,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0
midge,2006-02-02,2006,2,2,33,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0
midge,2006-02-03,2006,2,3,34,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0
midge,2006-02-04,2006,2,4,35,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0
midge,2006-02-05,2006,2,5,36,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,0
midge,2006-02-06,2006,2,6,37,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,0
midge,2006-02-07,2006,2,7,38,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,0
midge,2006-02-08,2006,2,8,39,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,0
midge,2006-02-09,2006,2,9,40,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,0
midge,2006-02-10,2006,2,10,41,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,0
midge,2006-02-11,2006,2,11,42,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,0
midge,2006-02-12,2006,2,12,43,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,0
midge,2006-02-13,2006,2,13,44,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,0
midge,2006-02-14,2006,2,14,45,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,0
midge,2006-02-15,2006,2,15,46,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,0
midge,2006-02-16,2006,2,16,47,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,0
midge,2006-02-17,2006,2,17,48,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,0
midge,2006-02-18,2006,2,18,49,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,0
midge,2006-02-19,2006,2,19,50,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,0
midge,2006-02-20,2006,2,20,51,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,0
midge,2006-02-21,2006,2,21,52,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,0
midge,2006-02-22,2006,2,22,53,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,0
midge,2006-02-23,2006,2,23,54,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,0
midge,2006-02-24,2006,2,24,55,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,0
midge,2006-02-25,2006,2,25,56,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,0
midge,2006-02-26,2006,2,26,57,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,0,0
midge,2006-02-27,2006,2,27,58,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,0,0
midge,2006-02-28,2006,2,28,59,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,0,0
midge,2006-03-01,2006,3,1,60,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,0,0
midge,2006-03-02,2006,3,2,61,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,0,0
midge,2006-03-03,2006,3,3,62,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,0,0
midge,2006-03-04,2006,3,4,63,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,0,0
midge,2006-03-05,2006,3,5,64,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,0
midge,2006-03-06,2006,3,6,65,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,0
midge,2006-03-07,2006,3,7,66,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,0
midge,2006-03-08,2006,3,8,67,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,0
midge,2006-03-09,2006,3,9,68,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,0
midge,2006-03-10,2006,3,10,69,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,0
midge,2006-03-11,2006,3,11,70,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,0
midge,2006-03-12,2006,3,12,71,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,0,0
midge,2006-03-13,2006,3,13,72,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,0,0
midge,2006-03-14,2006,3,14,73,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,0,0
midge,2006-03-15,2006,3,15,74,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,0,0
midge,2006-03-16,2006,3,16,75,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,0,0
midge,2006-03-17,2006,3,17,76,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,0,0
midge,2006-03-18,2006,3,18,77,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,0,0
midge,2006-03-19,2006,3,19,78,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,0,0
midge,2006-03-20,2006,3,20,79,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,0,0
midge,2006-03-21,2006,3,21,80,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,0,0
midge,2006-03-22,2006,3,22,81,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,0,0
midge,2006-03-23,2006,3,23,82,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,0,0
midge,2006-03-24,2006,3,24,83,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,0,0
midge,2006-03-25,2006,3,25,84,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,0,0
midge,2006-03-26,2006,3,26,85,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,0,0
midge,2006-03-27,2006,3,27,86,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,0,0
midge,2006-03-28,2006,3,28,87,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,0,0
midge,2006-03-29,2006,3,29,88,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,0,0
midge,2006-03-30,2006,3,30,89,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,0,0
midge,2006-03-31,2006,3,31,90,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,0,0
midge,2006-04-01,2006,4,1,91,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,0,0
midge,2006-04-02,2006,4,2,92,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,0,0
midge,2006-04-03,2006,4,3,93,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,0,0
midge,2006-04-04,2006,4,4,94,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,0,0
midge,2006-04-05,2006,4,5,95,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,0,0
midge,2006-04-06,2006,4,6,96,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,0,0
midge,2006-04-07,2006,4,7,97,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,0,0
midge,2006-04-08,2006,4,8,98,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,0,0
midge,2006-04-09,2006,4,9,99,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,0,0
